,lon,lat,node_label,pop
0,27.614328028,-17.0092698126,4227,26.0
1,27.614328028,-17.0002866598,4228,9.0
2,27.6237784743,-17.0362192712,4258,23.0
3,27.6237784743,-17.0272361183,4259,61.0
4,27.6237784743,-17.0002866598,4260,34.0
5,27.6332289207,-17.0272361183,4284,61.0
6,27.6332289207,-17.0182529655,4285,18.0
7,27.6332289207,-17.0092698126,4286,258.0
8,27.6332289207,-16.9643540484,4287,21.0
9,27.642679367,-17.0362192712,4309,45.0
10,27.642679367,-17.0272361183,4310,44.0
11,27.642679367,-17.0182529655,4311,161.0
12,27.642679367,-17.0092698126,4312,193.0
13,27.642679367,-16.9823203541,4313,6.0
14,27.642679367,-16.9643540484,4314,36.0
15,27.6521298134,-17.0362192712,4332,300.0
16,27.6521298134,-17.0272361183,4333,159.0
17,27.6521298134,-17.0182529655,4334,51.0
18,27.6521298134,-17.0092698126,4335,16.0
19,27.6521298134,-16.991303507,4336,81.0
20,27.6521298134,-16.9823203541,4337,41.0
21,27.6521298134,-16.9733372013,4338,6.0
22,27.6521298134,-16.9643540484,4339,17.0
23,27.6615802598,-17.0362192712,4357,22.0
24,27.6615802598,-17.0092698126,4358,67.0
25,27.6615802598,-17.0002866598,4359,101.0
26,27.6615802598,-16.991303507,4360,19.0
27,27.6615802598,-16.9823203541,4361,388.0
28,27.6615802598,-16.9733372013,4362,819.0
29,27.6710307061,-17.0092698126,4383,34.0
30,27.6710307061,-17.0002866598,4384,19.0
31,27.6710307061,-16.991303507,4385,4.0
32,27.6710307061,-16.9823203541,4386,23.0
33,27.6710307061,-16.9733372013,4387,359.0
34,27.6804811525,-17.0092698126,4410,85.0
35,27.6804811525,-17.0002866598,4411,12.0
36,27.6804811525,-16.9733372013,4412,276.0
37,27.6899315988,-17.045202424,4432,20.0
38,27.6899315988,-17.0092698126,4433,62.0
39,27.6899315988,-17.0002866598,4434,26.0
40,27.6899315988,-16.9823203541,4435,14.0
41,27.6993820452,-17.045202424,4457,32.0
42,27.6993820452,-16.991303507,4458,41.0
43,27.6993820452,-16.9823203541,4459,45.0
44,27.6993820452,-16.9733372013,4460,85.0
45,27.6993820452,-16.9643540484,4461,112.0
46,27.7088324915,-17.0002866598,4487,3.0
47,27.7088324915,-16.991303507,4488,7.0
48,27.7088324915,-16.9823203541,4489,384.0
49,27.7088324915,-16.9733372013,4490,68.0
50,27.7088324915,-16.9643540484,4491,9.0
