,lon,lat,node_label,pop
0,27.9639945432,-16.5870616291,5144,45.0
1,27.9828954359,-16.6050279348,5171,14.0
2,27.9828954359,-16.5960447819,5172,55.0
3,27.9923458823,-16.6140110876,5190,27.0
4,27.9923458823,-16.6050279348,5191,62.0
5,27.9923458823,-16.5960447819,5192,63.0
6,27.9923458823,-16.5870616291,5193,58.0
7,27.9923458823,-16.5780784763,5194,19.0
8,28.0017963286,-16.6050279348,5207,17.0
9,28.0017963286,-16.5960447819,5208,32.0
10,28.0017963286,-16.5870616291,5209,53.0
11,28.011246775,-16.5960447819,5224,7.0
12,28.011246775,-16.5870616291,5225,75.0
13,28.011246775,-16.5780784763,5226,23.0
14,28.0206972214,-16.5870616291,5242,246.0
15,28.0206972214,-16.5780784763,5243,432.0
16,28.0206972214,-16.5690953234,5244,8.0
17,28.0301476677,-16.6679100047,5259,78.0
18,28.0301476677,-16.5870616291,5260,29.0
19,28.0301476677,-16.5780784763,5261,171.0
20,28.0301476677,-16.5511290177,5262,52.0
21,28.0301476677,-16.5421458649,5263,24.0
22,28.0395981141,-16.6768931575,5275,99.0
23,28.0395981141,-16.6679100047,5276,21.0
24,28.0395981141,-16.649943699,5277,3.0
25,28.0395981141,-16.6409605461,5278,13.0
26,28.0395981141,-16.6140110876,5279,13.0
27,28.0395981141,-16.6050279348,5280,6.0
28,28.0395981141,-16.5960447819,5281,25.0
29,28.0395981141,-16.5780784763,5282,5.0
30,28.0490485604,-16.6768931575,5301,50.0
31,28.0490485604,-16.6679100047,5302,59.0
32,28.0490485604,-16.6409605461,5303,46.0
33,28.0490485604,-16.6319773933,5304,5.0
34,28.0490485604,-16.6140110876,5305,14.0
35,28.0490485604,-16.5960447819,5306,18.0
36,28.0490485604,-16.5780784763,5307,65.0
37,28.0584990068,-16.6858763104,5324,35.0
38,28.0584990068,-16.6679100047,5325,5.0
39,28.0584990068,-16.6409605461,5326,40.0
40,28.0584990068,-16.6319773933,5327,15.0
41,28.0584990068,-16.6140110876,5328,19.0
42,28.0584990068,-16.5870616291,5329,3.0
43,28.0584990068,-16.5780784763,5330,48.0
44,28.0584990068,-16.5690953234,5331,144.0
45,28.0584990068,-16.5601121706,5332,27.0
46,28.0679494532,-16.6948594632,5345,27.0
47,28.0679494532,-16.6768931575,5346,4.0
48,28.0679494532,-16.6679100047,5347,19.0
49,28.0679494532,-16.6589268518,5348,6.0
50,28.0679494532,-16.6409605461,5349,124.0
51,28.0679494532,-16.6319773933,5350,51.0
52,28.0679494532,-16.6140110876,5351,85.0
53,28.0679494532,-16.6050279348,5352,27.0
54,28.0679494532,-16.5870616291,5353,11.0
55,28.0679494532,-16.5780784763,5354,17.0
56,28.0679494532,-16.5690953234,5355,61.0
57,28.0679494532,-16.5601121706,5356,59.0
58,28.0773998995,-16.6948594632,5366,19.0
59,28.0773998995,-16.6768931575,5367,21.0
60,28.0773998995,-16.6589268518,5368,10.0
61,28.0773998995,-16.6409605461,5369,63.0
62,28.0773998995,-16.6319773933,5370,56.0
63,28.0773998995,-16.6229942405,5371,42.0
64,28.0773998995,-16.6140110876,5372,61.0
65,28.0773998995,-16.5690953234,5373,65.0
66,28.0773998995,-16.5601121706,5374,144.0
67,28.0868503459,-16.6948594632,5386,9.0
68,28.0868503459,-16.6858763104,5387,15.0
69,28.0868503459,-16.649943699,5388,20.0
70,28.0868503459,-16.6319773933,5389,17.0
71,28.0868503459,-16.6229942405,5390,25.0
