,lon,lat,node_label,pop
0,26.480274465,-17.8447030269,75,27.0
1,26.4897249113,-17.8267367212,85,19.0
2,26.4991753577,-17.8896187911,93,12.0
3,26.4991753577,-17.8536861797,94,10.0
4,26.508625804,-17.8986019439,101,19.0
5,26.508625804,-17.8896187911,102,44.0
6,26.508625804,-17.8626693325,103,79.0
7,26.508625804,-17.8447030269,104,88.0
8,26.508625804,-17.8267367212,105,4.0
9,26.5180762504,-17.8716524854,110,8.0
10,26.5180762504,-17.8626693325,111,8.0
11,26.5180762504,-17.8267367212,112,14.0
12,26.5275266968,-17.8896187911,120,25.0
13,26.5369771431,-17.8896187911,125,27.0
14,26.5369771431,-17.8626693325,126,25.0
15,26.5369771431,-17.8536861797,127,10.0
16,26.5369771431,-17.835719874,128,19.0
17,26.5369771431,-17.7638546513,129,15.0
18,26.5464275895,-17.7728378041,137,4.0
19,26.5464275895,-17.7638546513,138,38.0
20,26.5558780358,-17.7458883456,148,7.0
21,26.5653284822,-17.7548714985,160,4.0
22,26.5747789286,-17.8806356382,167,9.0
23,26.5747789286,-17.7638546513,168,10.0
24,26.5747789286,-17.7548714985,169,67.0
25,26.5747789286,-17.7458883456,170,28.0
26,26.5842293749,-17.7638546513,179,4.0
27,26.5936798213,-17.9165682496,192,3.0
28,26.5936798213,-17.9075850968,193,15.0
29,26.5936798213,-17.7638546513,194,13.0
30,26.5936798213,-17.7458883456,195,13.0
31,26.5936798213,-17.7369051928,196,19.0
32,26.5936798213,-17.7279220399,197,19.0
33,26.6031302676,-17.9075850968,210,19.0
34,26.6031302676,-17.7548714985,211,17.0
35,26.6031302676,-17.7458883456,212,12.0
36,26.6031302676,-17.7369051928,213,10.0
37,26.612580714,-18.0513155422,226,19.0
38,26.612580714,-17.7728378041,227,6.0
39,26.612580714,-17.7638546513,228,11.0
40,26.612580714,-17.7548714985,229,12.0
41,26.612580714,-17.7458883456,230,33.0
42,26.612580714,-17.7369051928,231,21.0
43,26.612580714,-17.7279220399,232,13.0
44,26.612580714,-17.7189388871,233,4.0
45,26.6220311603,-18.0513155422,248,24.0
46,26.6220311603,-17.7728378041,249,3.0
47,26.6220311603,-17.7638546513,250,7.0
48,26.6220311603,-17.7369051928,251,90.0
49,26.6220311603,-17.7279220399,252,12.0
50,26.6314816067,-17.9435177081,269,26.0
51,26.6314816067,-17.9345345553,270,4.0
52,26.6314816067,-17.8806356382,271,27.0
53,26.6314816067,-17.8716524854,272,19.0
54,26.6314816067,-17.7279220399,273,44.0
55,26.6409320531,-18.0513155422,292,11.0
56,26.6409320531,-17.9075850968,293,8.0
57,26.6409320531,-17.8896187911,294,20.0
58,26.6409320531,-17.8806356382,295,16.0
59,26.6409320531,-17.8716524854,296,48.0
60,26.6409320531,-17.7279220399,297,8.0
61,26.6503824994,-18.0513155422,321,4.0
62,26.6503824994,-17.9435177081,322,8.0
63,26.6503824994,-17.9345345553,323,2.0
64,26.6503824994,-17.9075850968,324,13.0
65,26.6598329458,-17.9075850968,347,53.0
66,26.6598329458,-17.8716524854,348,33.0
67,26.6787338385,-17.7548714985,412,15.0
68,26.6787338385,-17.7458883456,413,12.0
69,26.6881842849,-17.7458883456,446,38.0
70,26.6881842849,-17.7369051928,447,11.0
71,26.6881842849,-17.7279220399,448,9.0
72,26.6881842849,-17.7189388871,449,22.0
73,26.6881842849,-17.7099557342,450,4.0
74,26.6881842849,-17.7009725814,451,15.0
75,26.6976347312,-17.9884334723,484,15.0
76,26.6976347312,-17.9165682496,485,64.0
77,26.6976347312,-17.9075850968,486,13.0
78,26.6976347312,-17.8986019439,487,9.0
79,26.6976347312,-17.8896187911,488,20.0
80,26.6976347312,-17.8806356382,489,25.0
81,26.6976347312,-17.8716524854,490,46.0
82,26.6976347312,-17.8626693325,491,7.0
83,26.6976347312,-17.7548714985,492,31.0
84,26.6976347312,-17.7458883456,493,24.0
85,26.6976347312,-17.7369051928,494,62.0
86,26.6976347312,-17.7279220399,495,11.0
87,26.6976347312,-17.7189388871,496,50.0
88,26.6976347312,-17.7099557342,497,23.0
89,26.6976347312,-17.7009725814,498,41.0
90,26.6976347312,-17.6919894286,499,39.0
91,26.7070851776,-18.0513155422,530,16.0
92,26.7070851776,-17.9435177081,531,8.0
93,26.7070851776,-17.9075850968,532,21.0
