,lon,lat,node_label,pop
0,27.6521298134,-16.7218089217,4350,5.0
1,27.6615802598,-16.7397752274,4375,8.0
2,27.6615802598,-16.7218089217,4376,22.0
3,27.6710307061,-16.7667246859,4401,21.0
4,27.6710307061,-16.7307920746,4402,20.0
5,27.6710307061,-16.6768931575,4403,7.0
6,27.6804811525,-16.7667246859,4426,88.0
7,27.6804811525,-16.6589268518,4427,13.0
8,27.6899315988,-16.7307920746,4446,16.0
9,27.6899315988,-16.6589268518,4447,21.0
10,27.6993820452,-16.7846909916,4469,105.0
11,27.6993820452,-16.7667246859,4470,79.0
12,27.6993820452,-16.7577415331,4471,34.0
13,27.6993820452,-16.7307920746,4472,115.0
14,27.6993820452,-16.7218089217,4473,25.0
15,27.6993820452,-16.703842616,4474,38.0
16,27.6993820452,-16.6948594632,4475,7.0
17,27.6993820452,-16.6589268518,4476,43.0
18,27.6993820452,-16.649943699,4477,70.0
19,27.6993820452,-16.6319773933,4478,10.0
20,27.7088324915,-16.7846909916,4496,32.0
21,27.7088324915,-16.7757078388,4497,30.0
22,27.7088324915,-16.7667246859,4498,65.0
23,27.7088324915,-16.7307920746,4499,13.0
24,27.7088324915,-16.7218089217,4500,21.0
25,27.7088324915,-16.703842616,4501,35.0
26,27.7088324915,-16.6948594632,4502,7.0
27,27.7088324915,-16.6589268518,4503,27.0
28,27.7088324915,-16.649943699,4504,56.0
29,27.7088324915,-16.6319773933,4505,30.0
30,27.7182829379,-16.7667246859,4517,26.0
31,27.7182829379,-16.7577415331,4518,92.0
32,27.7182829379,-16.7487583802,4519,7.0
33,27.7182829379,-16.703842616,4520,23.0
34,27.7182829379,-16.6948594632,4521,22.0
35,27.7182829379,-16.6589268518,4522,34.0
36,27.7182829379,-16.649943699,4523,25.0
37,27.7182829379,-16.6409605461,4524,49.0
38,27.7182829379,-16.6319773933,4525,7.0
39,27.7182829379,-16.6229942405,4526,7.0
40,27.7182829379,-16.6140110876,4527,16.0
41,27.7277333843,-16.7577415331,4540,215.0
42,27.7277333843,-16.7487583802,4541,43.0
43,27.7277333843,-16.7218089217,4542,11.0
44,27.7277333843,-16.7128257689,4543,14.0
45,27.7277333843,-16.703842616,4544,24.0
46,27.7277333843,-16.6948594632,4545,11.0
47,27.7277333843,-16.6589268518,4546,12.0
48,27.7277333843,-16.649943699,4547,63.0
49,27.7277333843,-16.6409605461,4548,124.0
50,27.7371838306,-16.7577415331,4561,101.0
51,27.7371838306,-16.7487583802,4562,32.0
52,27.7371838306,-16.7397752274,4563,97.0
53,27.7371838306,-16.703842616,4564,18.0
