"event","date","fulldate","cov_all","age_cov","min_season_cov","fast_fraction","mid.x","mid.y","grid.cell","catch"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6521298133938,-16.96435404843,4339,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6521298133938,-16.96435404843,4339,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6521298133938,-16.96435404843,4339,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6332289206773,-17.009269812636,4286,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6332289206773,-17.009269812636,4286,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6332289206773,-17.009269812636,4286,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
3,1643,"2014-07-02",0.5,0.65,0.5,0.6,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
1,610,"2011-09-03",0.8,0.65,0.5,0.6,27.6426793670356,-17.009269812636,4312,"Chiyabi"
2,942,"2012-07-31",0.8,0.65,0.5,0.6,27.6426793670356,-17.009269812636,4312,"Chiyabi"
