"round","date","prevalence","mid.x","mid.y","grid.cell","catch"
1,"2012-07-01",0.4724,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
2,"2012-09-30",0.2808,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
3,"2012-11-30",0.2106,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
4,"2013-07-01",0.4331,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
5,"2013-08-31",0.3419,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
6,"2013-10-31",0.4441,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
7,"2014-12-31",0.2919,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
8,"2015-03-01",0.2007,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
9,"2015-09-30",0.3336,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
10,"2016-02-29",0.0866,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-16.96435404843,4339,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-16.96435404843,4339,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-16.96435404843,4339,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-16.96435404843,4339,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-16.96435404843,4339,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-16.96435404843,4339,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-16.96435404843,4339,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-16.96435404843,4339,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-16.96435404843,4339,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-16.96435404843,4339,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
1,"2012-07-01",0.4724,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
2,"2012-09-30",0.2808,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
3,"2012-11-30",0.2106,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
4,"2013-07-01",0.4331,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
5,"2013-08-31",0.3419,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
6,"2013-10-31",0.4441,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
7,"2014-12-31",0.2919,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
8,"2015-03-01",0.2007,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
9,"2015-09-30",0.3336,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
10,"2016-02-29",0.0866,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
1,"2012-07-01",0.4724,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
2,"2012-09-30",0.2808,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
3,"2012-11-30",0.2106,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
4,"2013-07-01",0.4331,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
5,"2013-08-31",0.3419,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
6,"2013-10-31",0.4441,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
7,"2014-12-31",0.2919,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
8,"2015-03-01",0.2007,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
9,"2015-09-30",0.3336,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
10,"2016-02-29",0.0866,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
1,"2012-07-01",0.4724,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
2,"2012-09-30",0.2808,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
3,"2012-11-30",0.2106,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
4,"2013-07-01",0.4331,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
5,"2013-08-31",0.3419,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
6,"2013-10-31",0.4441,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
7,"2014-12-31",0.2919,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
8,"2015-03-01",0.2007,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
9,"2015-09-30",0.3336,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
10,"2016-02-29",0.0866,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
1,"2012-07-01",0.4724,27.6332289206773,-17.009269812636,4286,"Chiyabi"
2,"2012-09-30",0.2808,27.6332289206773,-17.009269812636,4286,"Chiyabi"
3,"2012-11-30",0.2106,27.6332289206773,-17.009269812636,4286,"Chiyabi"
4,"2013-07-01",0.4331,27.6332289206773,-17.009269812636,4286,"Chiyabi"
5,"2013-08-31",0.3419,27.6332289206773,-17.009269812636,4286,"Chiyabi"
6,"2013-10-31",0.4441,27.6332289206773,-17.009269812636,4286,"Chiyabi"
7,"2014-12-31",0.2919,27.6332289206773,-17.009269812636,4286,"Chiyabi"
8,"2015-03-01",0.2007,27.6332289206773,-17.009269812636,4286,"Chiyabi"
9,"2015-09-30",0.3336,27.6332289206773,-17.009269812636,4286,"Chiyabi"
10,"2016-02-29",0.0866,27.6332289206773,-17.009269812636,4286,"Chiyabi"
1,"2012-07-01",0.4724,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
2,"2012-09-30",0.2808,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
3,"2012-11-30",0.2106,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
4,"2013-07-01",0.4331,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
5,"2013-08-31",0.3419,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
6,"2013-10-31",0.4441,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
7,"2014-12-31",0.2919,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
8,"2015-03-01",0.2007,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
9,"2015-09-30",0.3336,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
10,"2016-02-29",0.0866,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
1,"2012-07-01",0.4724,27.6426793670356,-17.009269812636,4312,"Chiyabi"
2,"2012-09-30",0.2808,27.6426793670356,-17.009269812636,4312,"Chiyabi"
3,"2012-11-30",0.2106,27.6426793670356,-17.009269812636,4312,"Chiyabi"
4,"2013-07-01",0.4331,27.6426793670356,-17.009269812636,4312,"Chiyabi"
5,"2013-08-31",0.3419,27.6426793670356,-17.009269812636,4312,"Chiyabi"
6,"2013-10-31",0.4441,27.6426793670356,-17.009269812636,4312,"Chiyabi"
7,"2014-12-31",0.2919,27.6426793670356,-17.009269812636,4312,"Chiyabi"
8,"2015-03-01",0.2007,27.6426793670356,-17.009269812636,4312,"Chiyabi"
9,"2015-09-30",0.3336,27.6426793670356,-17.009269812636,4312,"Chiyabi"
10,"2016-02-29",0.0866,27.6426793670356,-17.009269812636,4312,"Chiyabi"
1,"2012-07-01",0.4724,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
2,"2012-09-30",0.2808,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
3,"2012-11-30",0.2106,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
4,"2013-07-01",0.4331,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
5,"2013-08-31",0.3419,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
6,"2013-10-31",0.4441,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
7,"2014-12-31",0.2919,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
8,"2015-03-01",0.2007,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
9,"2015-09-30",0.3336,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
10,"2016-02-29",0.0866,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
1,"2012-07-01",0.4724,27.6899315988268,-17.009269812636,4433,"Chiyabi"
2,"2012-09-30",0.2808,27.6899315988268,-17.009269812636,4433,"Chiyabi"
3,"2012-11-30",0.2106,27.6899315988268,-17.009269812636,4433,"Chiyabi"
4,"2013-07-01",0.4331,27.6899315988268,-17.009269812636,4433,"Chiyabi"
5,"2013-08-31",0.3419,27.6899315988268,-17.009269812636,4433,"Chiyabi"
6,"2013-10-31",0.4441,27.6899315988268,-17.009269812636,4433,"Chiyabi"
7,"2014-12-31",0.2919,27.6899315988268,-17.009269812636,4433,"Chiyabi"
8,"2015-03-01",0.2007,27.6899315988268,-17.009269812636,4433,"Chiyabi"
9,"2015-09-30",0.3336,27.6899315988268,-17.009269812636,4433,"Chiyabi"
10,"2016-02-29",0.0866,27.6899315988268,-17.009269812636,4433,"Chiyabi"
1,"2012-07-01",0.4724,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
2,"2012-09-30",0.2808,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
3,"2012-11-30",0.2106,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
4,"2013-07-01",0.4331,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
5,"2013-08-31",0.3419,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
6,"2013-10-31",0.4441,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
7,"2014-12-31",0.2919,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
8,"2015-03-01",0.2007,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
9,"2015-09-30",0.3336,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
10,"2016-02-29",0.0866,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
1,"2012-07-01",0.4724,27.6804811524686,-17.009269812636,4410,"Chiyabi"
2,"2012-09-30",0.2808,27.6804811524686,-17.009269812636,4410,"Chiyabi"
3,"2012-11-30",0.2106,27.6804811524686,-17.009269812636,4410,"Chiyabi"
4,"2013-07-01",0.4331,27.6804811524686,-17.009269812636,4410,"Chiyabi"
5,"2013-08-31",0.3419,27.6804811524686,-17.009269812636,4410,"Chiyabi"
6,"2013-10-31",0.4441,27.6804811524686,-17.009269812636,4410,"Chiyabi"
