"event","fulldate","cov_all","killing","duration","grid_cell"
1,2015-09-01,0.666666666666667,0.9,365,1
1,2014-09-01,0.25,0.9,365,2
2,2015-09-01,1,0.9,365,2
3,2016-09-01,0.928571428571429,0.9,365,2
1,2014-09-01,0.4,0.9,365,3
2,2015-09-01,0.928571428571429,0.9,365,3
3,2016-09-01,0.533333333333333,0.9,365,3
1,2014-09-01,0,0.9,365,4
2,2015-09-01,0.5,0.9,365,4
3,2016-09-01,0.75,0.9,365,4
1,2014-09-01,0.333333333333333,0.9,365,5
2,2015-09-01,0.95,0.9,365,5
3,2016-09-01,0.818181818181818,0.9,365,5
1,2014-09-01,0.375,0.9,365,6
2,2015-09-01,0.875,0.9,365,6
3,2016-09-01,0.714285714285714,0.9,365,6
1,2014-09-01,0.375,0.9,365,7
2,2015-09-01,0.921052631578947,0.9,365,7
3,2016-09-01,0.6,0.9,365,7
1,2014-09-01,0.1,0.9,365,8
2,2015-09-01,0.644444444444444,0.9,365,8
3,2016-09-01,0.720930232558139,0.9,365,8
1,2015-09-01,1,0.9,365,9
1,2015-09-01,0,0.9,365,10
2,2016-09-01,0,0.9,365,10
1,2016-09-01,1,0.9,365,11
1,2014-09-01,0,0.9,365,12
2,2015-09-01,1,0.9,365,12
3,2016-09-01,0,0.9,365,12
1,2014-09-01,0.4,0.9,365,13
2,2015-09-01,0.636363636363636,0.9,365,13
3,2016-09-01,0.857142857142857,0.9,365,13
1,2014-09-01,0.5,0.9,365,14
2,2015-09-01,1,0.9,365,14
3,2016-09-01,0.75,0.9,365,14
1,2014-09-01,0.5,0.9,365,15
2,2015-09-01,1,0.9,365,15
3,2016-09-01,1,0.9,365,15
1,2015-09-01,0.833333333333333,0.9,365,16
2,2016-09-01,0.75,0.9,365,16
1,2015-09-01,0,0.9,365,17
2,2016-09-01,0,0.9,365,17
1,2015-09-01,1,0.9,365,18
2,2016-09-01,0,0.9,365,18
1,2014-09-01,0.333333333333333,0.9,365,19
2,2015-09-01,0.4,0.9,365,19
3,2016-09-01,1,0.9,365,19
1,2014-09-01,0.5,0.9,365,20
2,2015-09-01,0.666666666666667,0.9,365,20
3,2016-09-01,1,0.9,365,20
1,2014-09-01,0.111111111111111,0.9,365,21
2,2015-09-01,0.75,0.9,365,21
3,2016-09-01,0.769230769230769,0.9,365,21
1,2014-09-01,0.166666666666667,0.9,365,22
2,2015-09-01,0.75,0.9,365,22
3,2016-09-01,0.285714285714286,0.9,365,22
1,2014-09-01,0.6,0.9,365,23
2,2015-09-01,1,0.9,365,23
3,2016-09-01,0.666666666666667,0.9,365,23
1,2015-09-01,0,0.9,365,24
2,2016-09-01,0,0.9,365,24
1,2015-09-01,0,0.9,365,25
1,2014-09-01,0,0.9,365,26
2,2015-09-01,0,0.9,365,26
3,2016-09-01,0,0.9,365,26
1,2014-09-01,0,0.9,365,27
2,2015-09-01,1,0.9,365,27
3,2016-09-01,0.5,0.9,365,27
1,2014-09-01,1,0.9,365,28
2,2015-09-01,1,0.9,365,28
3,2016-09-01,1,0.9,365,28
1,2014-09-01,0.25,0.9,365,29
2,2015-09-01,0.789473684210526,0.9,365,29
3,2016-09-01,0.769230769230769,0.9,365,29
1,2014-09-01,0,0.9,365,30
2,2015-09-01,1,0.9,365,30
3,2016-09-01,0,0.9,365,30
1,2014-09-01,0,0.9,365,31
2,2015-09-01,1,0.9,365,31
3,2016-09-01,0.5,0.9,365,31
1,2014-09-01,0.571428571428571,0.9,365,32
2,2015-09-01,1,0.9,365,32
3,2016-09-01,0.857142857142857,0.9,365,32
1,2014-09-01,0.5,0.9,365,33
2,2015-09-01,1,0.9,365,33
3,2016-09-01,0.5,0.9,365,33
1,2014-09-01,0,0.9,365,34
2,2015-09-01,0,0.9,365,34
3,2016-09-01,1,0.9,365,34
1,2015-09-01,0,0.9,365,35
2,2016-09-01,0,0.9,365,35
1,2014-09-01,1,0.9,365,36
2,2015-09-01,0,0.9,365,36
1,2016-09-01,0,0.9,365,37
1,2014-09-01,0,0.9,365,38
2,2015-09-01,1,0.9,365,38
3,2016-09-01,1,0.9,365,38
1,2014-09-01,0.5,0.9,365,39
2,2015-09-01,0.75,0.9,365,39
3,2016-09-01,0.5,0.9,365,39
1,2014-09-01,0,0.9,365,40
2,2015-09-01,1,0.9,365,40
3,2016-09-01,1,0.9,365,40
1,2014-09-01,0.230769230769231,0.9,365,41
2,2015-09-01,0.666666666666667,0.9,365,41
3,2016-09-01,0.588235294117647,0.9,365,41
1,2014-09-01,0,0.9,365,42
2,2015-09-01,0.857142857142857,0.9,365,42
3,2016-09-01,0.666666666666667,0.9,365,42
1,2015-09-01,1,0.9,365,43
2,2016-09-01,1,0.9,365,43
1,2014-09-01,0,0.9,365,44
2,2015-09-01,0,0.9,365,44
3,2016-09-01,0,0.9,365,44
1,2014-09-01,0,0.9,365,45
2,2015-09-01,0,0.9,365,45
1,2015-09-01,1,0.9,365,46
1,2014-09-01,0,0.9,365,47
2,2015-09-01,0.4,0.9,365,47
3,2016-09-01,1,0.9,365,47
1,2014-09-01,1,0.9,365,48
2,2015-09-01,0,0.9,365,48
3,2016-09-01,0,0.9,365,48
1,2014-09-01,0,0.9,365,49
2,2015-09-01,1,0.9,365,49
1,2014-09-01,0,0.9,365,50
2,2015-09-01,1,0.9,365,50
3,2016-09-01,0.5,0.9,365,50
1,2014-09-01,0.5,0.9,365,51
2,2015-09-01,0,0.9,365,51
1,2015-09-01,0.5,0.9,365,52
2,2016-09-01,0.5,0.9,365,52
1,2016-09-01,1,0.9,365,53
1,2014-09-01,1,0.9,365,54
2,2015-09-01,1,0.9,365,54
3,2016-09-01,1,0.9,365,54
1,2014-09-01,0.5,0.9,365,55
2,2015-09-01,0.833333333333333,0.9,365,55
3,2016-09-01,0.333333333333333,0.9,365,55
1,2014-09-01,1,0.9,365,56
2,2015-09-01,1,0.9,365,56
3,2016-09-01,0,0.9,365,56
1,2014-09-01,0,0.9,365,57
2,2015-09-01,0.4,0.9,365,57
3,2016-09-01,0.25,0.9,365,57
1,2014-09-01,0.571428571428571,0.9,365,58
2,2015-09-01,1,0.9,365,58
3,2016-09-01,0.5,0.9,365,58
1,2014-09-01,0.6,0.9,365,59
2,2015-09-01,0.555555555555556,0.9,365,59
3,2016-09-01,0.5,0.9,365,59
1,2014-09-01,0.25,0.9,365,60
2,2015-09-01,1,0.9,365,60
3,2016-09-01,0.4,0.9,365,60
1,2014-09-01,0,0.9,365,61
2,2015-09-01,1,0.9,365,61
3,2016-09-01,0,0.9,365,61
1,2014-09-01,0.5,0.9,365,62
2,2015-09-01,1,0.9,365,62
3,2016-09-01,1,0.9,365,62
1,2014-09-01,1,0.9,365,63
2,2015-09-01,1,0.9,365,63
3,2016-09-01,1,0.9,365,63
1,2014-09-01,0,0.9,365,64
2,2015-09-01,1,0.9,365,64
3,2016-09-01,0.75,0.9,365,64
1,2016-09-01,1,0.9,365,65
1,2014-09-01,0.666666666666667,0.9,365,66
2,2015-09-01,1,0.9,365,66
3,2016-09-01,0.5,0.9,365,66
1,2014-09-01,0.285714285714286,0.9,365,67
2,2015-09-01,1,0.9,365,67
3,2016-09-01,1,0.9,365,67
1,2015-09-01,1,0.9,365,68
2,2016-09-01,0,0.9,365,68
1,2014-09-01,0,0.9,365,69
1,2015-09-01,0,0.9,365,70
1,2014-09-01,0,0.9,365,71
2,2015-09-01,1,0.9,365,71
3,2016-09-01,0,0.9,365,71
1,2015-09-01,1,0.9,365,72
1,2014-09-01,0.166666666666667,0.9,365,73
2,2015-09-01,1,0.9,365,73
3,2016-09-01,0.714285714285714,0.9,365,73
1,2014-09-01,0,0.9,365,74
2,2015-09-01,0.875,0.9,365,74
3,2016-09-01,0.666666666666667,0.9,365,74
1,2014-09-01,0.333333333333333,0.9,365,75
2,2015-09-01,0.666666666666667,0.9,365,75
3,2016-09-01,0.5,0.9,365,75
1,2014-09-01,0,0.9,365,76
2,2015-09-01,1,0.9,365,76
3,2016-09-01,0,0.9,365,76
1,2016-09-01,0,0.9,365,77
1,2014-09-01,0,0.9,365,78
2,2015-09-01,0.5,0.9,365,78
1,2015-09-01,0.5,0.9,365,79
1,2015-09-01,1,0.9,365,80
2,2016-09-01,1,0.9,365,80
1,2014-09-01,0.5,0.9,365,81
2,2015-09-01,1,0.9,365,81
3,2016-09-01,0.666666666666667,0.9,365,81
1,2014-09-01,0.5,0.9,365,82
2,2015-09-01,0.666666666666667,0.9,365,82
