"event","fulldate","cov_all","age_cov","min_season_cov","fast_fraction","grid_cell"
1,"2015-09-01",0.6,0.65,0.5,0.6,2
1,"2015-09-01",0.289473684210526,0.65,0.5,0.6,3
1,"2015-09-01",0,0.65,0.5,0.6,4
1,"2015-09-01",0.875,0.65,0.5,0.6,5
1,"2015-09-01",0.690721649484536,0.65,0.5,0.6,6
1,"2015-09-01",0.8,0.65,0.5,0.6,7
1,"2015-09-01",0.534090909090909,0.65,0.5,0.6,8
1,"2015-09-01",0,0.65,0.5,0.6,10
1,"2015-09-01",0,0.65,0.5,0.6,12
1,"2015-09-01",0.578947368421053,0.65,0.5,0.6,13
1,"2015-09-01",0.5,0.65,0.5,0.6,14
1,"2015-09-01",1,0.65,0.5,0.6,15
1,"2015-09-01",0,0.65,0.5,0.6,16
1,"2015-09-01",0.0833333333333333,0.65,0.5,0.6,18
1,"2015-09-01",0.384615384615385,0.65,0.5,0.6,19
1,"2015-09-01",0.166666666666667,0.65,0.5,0.6,20
1,"2015-09-01",0.54,0.65,0.5,0.6,21
1,"2015-09-01",0.8,0.65,0.5,0.6,22
1,"2015-09-01",0.8125,0.65,0.5,0.6,23
1,"2015-09-01",0,0.65,0.5,0.6,24
1,"2015-09-01",0,0.65,0.5,0.6,25
1,"2015-09-01",1,0.65,0.5,0.6,27
1,"2015-09-01",0.666666666666667,0.65,0.5,0.6,28
1,"2015-09-01",0.285714285714286,0.65,0.5,0.6,29
1,"2015-09-01",0,0.65,0.5,0.6,30
1,"2015-09-01",1,0.65,0.5,0.6,31
1,"2015-09-01",0.743589743589744,0.65,0.5,0.6,32
1,"2015-09-01",0.9375,0.65,0.5,0.6,33
1,"2015-09-01",0,0.65,0.5,0.6,35
1,"2015-09-01",1,0.65,0.5,0.6,36
1,"2015-09-01",1,0.65,0.5,0.6,38
1,"2015-09-01",0.826086956521739,0.65,0.5,0.6,39
1,"2015-09-01",1,0.65,0.5,0.6,40
1,"2015-09-01",0.51219512195122,0.65,0.5,0.6,41
1,"2015-09-01",0.444444444444444,0.65,0.5,0.6,42
1,"2015-09-01",0,0.65,0.5,0.6,43
1,"2015-09-01",1,0.65,0.5,0.6,46
1,"2015-09-01",0.75,0.65,0.5,0.6,47
1,"2015-09-01",1,0.65,0.5,0.6,49
1,"2015-09-01",1,0.65,0.5,0.6,50
1,"2015-09-01",0.25,0.65,0.5,0.6,52
1,"2015-09-01",0.0769230769230769,0.65,0.5,0.6,54
1,"2015-09-01",0.470588235294118,0.65,0.5,0.6,55
1,"2015-09-01",0,0.65,0.5,0.6,56
1,"2015-09-01",0,0.65,0.5,0.6,57
1,"2015-09-01",0.714285714285714,0.65,0.5,0.6,58
1,"2015-09-01",0.625,0.65,0.5,0.6,59
1,"2015-09-01",1,0.65,0.5,0.6,60
1,"2015-09-01",1,0.65,0.5,0.6,61
1,"2015-09-01",0.916666666666667,0.65,0.5,0.6,62
1,"2015-09-01",0.0714285714285714,0.65,0.5,0.6,63
1,"2015-09-01",0,0.65,0.5,0.6,64
1,"2015-09-01",0.6,0.65,0.5,0.6,66
1,"2015-09-01",0.5,0.65,0.5,0.6,67
1,"2015-09-01",0,0.65,0.5,0.6,70
1,"2015-09-01",0.2,0.65,0.5,0.6,73
1,"2015-09-01",0.466666666666667,0.65,0.5,0.6,74
1,"2015-09-01",0.461538461538462,0.65,0.5,0.6,75
1,"2015-09-01",0,0.65,0.5,0.6,76
1,"2015-09-01",0.25,0.65,0.5,0.6,79
1,"2015-09-01",0,0.65,0.5,0.6,80
1,"2015-09-01",0.5,0.65,0.5,0.6,81
1,"2015-09-01",0.714285714285714,0.65,0.5,0.6,82
1,"2015-09-01",0.636363636363636,0.65,0.5,0.6,83
1,"2015-09-01",0,0.65,0.5,0.6,84
1,"2015-09-01",0.428571428571429,0.65,0.5,0.6,86
1,"2015-09-01",0.933333333333333,0.65,0.5,0.6,87
1,"2015-09-01",0,0.65,0.5,0.6,88
1,"2015-09-01",1,0.65,0.5,0.6,89
1,"2015-09-01",0.166666666666667,0.65,0.5,0.6,90
1,"2015-09-01",0.1,0.65,0.5,0.6,92
1,"2015-09-01",0,0.65,0.5,0.6,93
1,"2015-09-01",0.833333333333333,0.65,0.5,0.6,94
1,"2015-09-01",0,0.65,0.5,0.6,95
1,"2015-09-01",0,0.65,0.5,0.6,96
1,"2015-09-01",0.5625,0.65,0.5,0.6,97
1,"2015-09-01",0.75,0.65,0.5,0.6,98
1,"2015-09-01",0.0714285714285714,0.65,0.5,0.6,99
1,"2015-09-01",0,0.65,0.5,0.6,100
1,"2015-09-01",0.25,0.65,0.5,0.6,101
1,"2015-09-01",0.466666666666667,0.65,0.5,0.6,102
1,"2015-09-01",1,0.65,0.5,0.6,103
1,"2015-09-01",0.4,0.65,0.5,0.6,104
1,"2015-09-01",0,0.65,0.5,0.6,105
1,"2015-09-01",0,0.65,0.5,0.6,106
1,"2015-09-01",0.761904761904762,0.65,0.5,0.6,107
1,"2015-09-01",1,0.65,0.5,0.6,108
1,"2015-09-01",1,0.65,0.5,0.6,109
1,"2015-09-01",0,0.65,0.5,0.6,110
1,"2015-09-01",0,0.65,0.5,0.6,111
1,"2015-09-01",0.8,0.65,0.5,0.6,113
1,"2015-09-01",1,0.65,0.5,0.6,114
1,"2015-09-01",1,0.65,0.5,0.6,115
1,"2015-09-01",1,0.65,0.5,0.6,117
1,"2015-09-01",1,0.65,0.5,0.6,118
