"event","fulldate","cov_all","grid_cell"
1,2015-11-19,0.407894736842105,2
2,2016-01-27,0.223684210526316,2
3,2016-12-08,0.473684210526316,2
4,2017-01-27,0.513157894736842,2
1,2015-11-19,0.552238805970149,3
2,2016-01-27,0.432835820895522,3
3,2016-12-08,0.537313432835821,3
4,2017-01-28,0.522388059701492,3
1,2015-11-19,0.529411764705882,4
2,2016-01-28,0.235294117647059,4
3,2016-12-09,0.705882352941177,4
4,2017-01-30,0.588235294117647,4
1,2015-11-19,0.666666666666667,5
2,2016-01-27,0.354166666666667,5
3,2016-12-08,0.541666666666667,5
4,2017-01-27,0.5,5
1,2015-11-18,0.458937198067633,6
2,2016-01-28,0.265700483091787,6
3,2016-12-08,0.521739130434783,6
4,2017-01-27,0.51207729468599,6
1,2015-11-20,0.388888888888889,7
2,2016-01-28,0.246913580246914,7
3,2016-12-08,0.462962962962963,7
4,2017-01-28,0.358024691358025,7
1,2015-11-19,0.5,8
2,2016-01-28,0.376404494382022,8
3,2016-12-08,0.51123595505618,8
4,2017-01-28,0.47752808988764,8
1,2015-11-19,0.666666666666667,10
2,2016-01-26,0,10
3,2016-12-07,0,10
4,2017-02-08,0.333333333333333,10
1,2015-11-18,0,11
2,2016-01-26,0,11
3,2016-12-09,0.333333333333333,11
4,2017-01-25,0,11
1,2015-11-27,0.2,12
2,2016-01-26,0,12
3,2016-12-07,0,12
4,2017-02-01,0.4,12
1,2015-11-19,0.567164179104478,13
2,2016-01-28,0.0746268656716418,13
3,2016-12-08,0.447761194029851,13
4,2017-01-27,0.388059701492537,13
1,2015-11-20,0.5,14
2,2016-01-31,0.0625,14
3,2016-12-10,0.375,14
4,2017-02-04,0.375,14
1,2015-11-20,0.333333333333333,15
2,2016-01-26,0,15
3,2016-12-09,0.777777777777778,15
4,2017-01-30,0.888888888888889,15
1,2015-11-19,0.217391304347826,16
2,2016-01-26,0,16
3,2016-12-08,0.565217391304348,16
4,2017-01-28,0.304347826086957,16
1,2015-11-18,0,17
2,2016-01-26,0,17
3,2016-12-07,0,17
4,2017-01-25,0,17
1,2015-11-19,0.363636363636364,18
2,2016-01-26,0,18
3,2016-12-09,0.424242424242424,18
4,2017-02-01,0.454545454545455,18
1,2015-11-19,0.65,19
2,2016-01-27,0.35,19
3,2016-12-08,0.6,19
4,2017-01-30,0.65,19
1,2015-11-22,0.75,20
2,2016-01-27,0.375,20
3,2016-12-08,0.375,20
4,2017-01-30,0.458333333333333,20
1,2015-11-19,0.51,21
2,2016-01-27,0.27,21
3,2016-12-08,0.42,21
4,2017-01-30,0.38,21
1,2015-11-19,0.404255319148936,22
2,2016-01-28,0.361702127659574,22
3,2016-12-08,0.404255319148936,22
4,2017-01-30,0.404255319148936,22
1,2015-11-19,0.470588235294118,23
2,2016-01-27,0.352941176470588,23
3,2016-12-08,0.529411764705882,23
4,2017-01-27,0.470588235294118,23
1,2015-11-19,0.1,24
2,2016-01-26,0,24
3,2016-12-09,0.1,24
4,2017-02-01,0.3,24
1,2015-11-27,0.8,25
2,2016-01-26,0,25
3,2016-12-07,0,25
4,2017-01-25,0,25
1,2015-11-18,0,26
2,2016-01-26,0,26
3,2016-12-07,0,26
4,2017-01-25,0,26
1,2015-11-26,0.545454545454545,27
2,2016-01-26,0.0909090909090909,27
3,2016-12-09,0.454545454545455,27
4,2017-01-28,0.636363636363636,27
1,2015-11-19,0.24,28
2,2016-01-26,0,28
3,2016-12-08,0.56,28
4,2017-01-30,0.36,28
1,2015-11-19,0.486486486486487,29
2,2016-01-27,0.324324324324324,29
3,2016-12-08,0.472972972972973,29
4,2017-01-27,0.297297297297297,29
1,2015-11-26,0.8,30
2,2016-01-26,0,30
3,2016-12-10,0.2,30
4,2017-02-09,0.8,30
1,2015-11-19,0.5,31
2,2016-01-27,0.45,31
3,2016-12-08,0.45,31
4,2017-01-28,0.65,31
1,2015-11-19,0.482352941176471,32
2,2016-01-27,0.317647058823529,32
3,2016-12-08,0.541176470588235,32
4,2017-01-27,0.388235294117647,32
1,2015-11-22,0.533333333333333,33
2,2016-01-27,0.4,33
3,2016-12-08,0.666666666666667,33
4,2017-01-27,0.566666666666667,33
1,2015-11-18,0,34
2,2016-01-26,0,34
3,2016-12-09,0.65,34
4,2017-01-25,0,34
1,2015-11-26,0.4,35
2,2016-01-26,0,35
3,2016-12-07,0,35
4,2017-01-25,0,35
1,2015-11-19,0.166666666666667,36
2,2016-01-26,0,36
3,2016-12-07,0,36
4,2017-01-25,0,36
1,2015-11-18,0,37
2,2016-01-26,0,37
3,2016-12-10,0.4,37
4,2017-02-01,0.6,37
1,2015-11-19,0.75,38
2,2016-01-27,0.25,38
3,2016-12-08,0.25,38
4,2017-01-25,0,38
1,2015-11-26,0.328125,39
2,2016-01-27,0.28125,39
3,2016-12-08,0.3125,39
4,2017-01-28,0.453125,39
1,2015-11-19,1,40
2,2016-01-27,0,40
3,2016-12-09,1,40
4,2017-01-28,1,40
1,2015-11-19,0.383177570093458,41
2,2016-01-27,0.102803738317757,41
3,2016-12-08,0.252336448598131,41
4,2017-01-27,0.439252336448598,41
1,2015-11-19,0.36,42
2,2016-01-26,0,42
3,2016-12-08,0.36,42
4,2017-01-28,0.04,42
1,2015-11-26,0.333333333333333,43
2,2016-01-26,0,43
3,2016-12-08,0.333333333333333,43
4,2017-01-25,0,43
1,2015-11-18,0,44
2,2016-01-26,0,44
3,2016-12-07,0,44
4,2017-01-25,0,44
1,2015-11-18,0,45
2,2016-01-26,0,45
3,2016-12-07,0,45
4,2017-01-25,0,45
1,2015-11-26,0.333333333333333,46
2,2016-01-26,0,46
3,2016-12-07,0,46
4,2017-01-25,0,46
1,2015-11-18,0.45,47
2,2016-01-28,0.4,47
3,2016-12-08,0.45,47
4,2017-01-30,0.45,47
1,2015-11-18,0,48
2,2016-01-26,0,48
3,2016-12-07,0,48
4,2017-02-01,0.5,48
1,2015-11-18,0.857142857142857,49
2,2016-01-28,0.571428571428571,49
3,2016-12-07,0,49
4,2017-01-25,0,49
1,2015-11-25,0.333333333333333,50
2,2016-01-27,0.366666666666667,50
3,2016-12-09,0.433333333333333,50
4,2017-01-28,0.333333333333333,50
1,2015-11-18,0,51
2,2016-01-27,0.125,51
3,2016-12-08,0.1875,51
4,2017-01-27,0.0625,51
1,2015-11-26,0.210526315789474,52
2,2016-01-26,0,52
3,2016-12-08,0.368421052631579,52
4,2017-01-27,0.210526315789474,52
1,2015-11-18,0,53
2,2016-01-26,0,53
3,2016-12-08,0.8,53
4,2017-01-30,0.4,53
1,2015-11-25,0.5,54
2,2016-01-28,0.307692307692308,54
3,2016-12-06,0.423076923076923,54
4,2017-02-07,0.384615384615385,54
1,2015-11-18,0.705882352941177,55
2,2016-01-28,0.509803921568627,55
3,2016-12-06,0.196078431372549,55
4,2017-02-06,0.431372549019608,55
1,2015-11-18,1,56
2,2016-01-28,1,56
3,2016-12-07,0,56
4,2017-01-25,0,56
1,2015-11-25,0.15,57
2,2016-01-28,0,57
3,2016-12-06,0.45,57
4,2017-02-07,0.2,57
1,2015-11-19,0.388888888888889,58
2,2016-01-27,0.361111111111111,58
3,2016-12-08,0.638888888888889,58
4,2017-01-27,0.527777777777778,58
1,2015-11-26,0.571428571428571,59
2,2016-01-27,0.119047619047619,59
3,2016-12-08,0.547619047619048,59
4,2017-01-27,0.666666666666667,59
1,2015-11-19,0.416666666666667,60
2,2016-01-27,0.555555555555556,60
3,2016-12-08,0.25,60
4,2017-01-28,0.416666666666667,60
1,2015-11-19,0.272727272727273,61
2,2016-01-27,0.363636363636364,61
3,2016-12-15,0.0909090909090909,61
4,2017-01-25,0.181818181818182,61
1,2015-11-19,0.5,62
2,2016-01-27,0.208333333333333,62
3,2016-12-08,0.625,62
4,2017-01-27,0.541666666666667,62
1,2015-11-18,0.823529411764706,63
2,2016-01-28,0.470588235294118,63
3,2016-12-06,0.529411764705882,63
4,2017-02-06,0.352941176470588,63
1,2015-11-26,0.25,64
2,2016-01-26,0,64
3,2016-12-07,0,64
4,2017-01-28,0.625,64
1,2015-11-18,0.384615384615385,66
2,2016-01-27,0.230769230769231,66
3,2016-12-08,0.461538461538462,66
4,2017-01-27,0.615384615384615,66
1,2015-11-18,0.630434782608696,67
2,2016-01-27,0.58695652173913,67
3,2016-12-08,0.543478260869565,67
4,2017-01-27,0.673913043478261,67
1,2015-11-18,0,68
2,2016-01-26,0,68
3,2016-12-07,0,68
4,2017-02-06,0.833333333333333,68
1,2015-11-18,0,69
2,2016-01-26,0,69
3,2016-12-07,0,69
4,2017-01-25,0,69
1,2015-11-25,1,70
2,2016-01-26,0,70
3,2016-12-07,0,70
4,2017-01-25,0,70
1,2015-11-18,0,71
2,2016-01-28,0,71
3,2016-12-08,0.285714285714286,71
4,2017-01-27,0.285714285714286,71
1,2015-11-18,0.422222222222222,73
2,2016-01-28,0.288888888888889,73
3,2016-12-08,0.355555555555556,73
4,2017-01-28,0.288888888888889,73
1,2015-11-22,0.5,74
2,2016-01-27,0.107142857142857,74
3,2016-12-08,0.178571428571429,74
4,2017-01-27,0.107142857142857,74
1,2015-11-26,0.448275862068966,75
2,2016-01-27,0.0344827586206897,75
3,2016-12-08,0.448275862068966,75
4,2017-01-27,0.379310344827586,75
1,2015-11-18,0.6,76
2,2016-01-27,0.2,76
3,2016-12-07,0,76
4,2017-02-09,0.4,76
1,2015-11-18,0,77
2,2016-01-26,0,77
3,2016-12-07,0,77
4,2017-02-06,1,77
1,2015-11-18,0,78
2,2016-01-26,0.2,78
3,2016-12-07,0,78
4,2017-01-25,0,78
1,2015-11-18,0.75,79
2,2016-01-26,0,79
3,2016-12-07,0,79
4,2017-01-25,0,79
1,2015-11-18,0.666666666666667,80
2,2016-01-26,0,80
3,2016-12-09,0.277777777777778,80
4,2017-01-25,0,80
1,2015-11-18,0.666666666666667,81
2,2016-01-28,0.142857142857143,81
3,2016-12-08,0.476190476190476,81
4,2017-01-27,0.285714285714286,81
1,2015-11-26,0.7,82
2,2016-01-27,0.5,82
3,2016-12-09,0.1,82
4,2017-01-27,0.3,82
1,2015-11-18,0.725274725274725,83
2,2016-01-27,0.483516483516484,83
3,2016-12-08,0.373626373626374,83
4,2017-01-27,0.296703296703297,83
1,2015-11-18,0.466666666666667,84
2,2016-01-27,0.333333333333333,84
3,2016-12-09,0.6,84
4,2017-01-27,0.733333333333333,84
1,2015-11-18,1,86
2,2016-01-26,0,86
3,2016-12-06,0.285714285714286,86
4,2017-01-25,0,86
1,2015-11-18,0.625,87
2,2016-01-28,0.208333333333333,87
3,2016-12-06,0.375,87
4,2017-02-07,0.625,87
1,2015-11-18,1,88
2,2016-01-26,0,88
3,2016-12-07,0,88
4,2017-01-25,0,88
1,2015-11-18,0.333333333333333,89
2,2016-01-26,0.166666666666667,89
3,2016-12-08,0.5,89
4,2017-01-25,0,89
1,2015-11-19,0.481481481481481,90
2,2016-01-28,0.222222222222222,90
3,2016-12-09,0.296296296296296,90
4,2017-01-28,0.555555555555556,90
1,2015-11-18,0,91
2,2016-01-28,0,91
3,2016-12-07,0,91
4,2017-01-25,0,91
1,2015-11-18,0.714285714285714,92
2,2016-01-27,0.5,92
3,2016-12-08,0.714285714285714,92
4,2017-01-27,0.642857142857143,92
1,2015-11-18,0.875,93
2,2016-01-28,0.625,93
3,2016-12-08,0.875,93
4,2017-01-27,0.875,93
1,2015-11-18,0.461538461538462,94
2,2016-01-28,0.307692307692308,94
3,2016-12-06,0,94
4,2017-01-25,0,94
1,2015-11-25,0.75,95
2,2016-01-26,0,95
3,2016-12-07,0,95
4,2017-01-25,0,95
1,2015-11-26,0.666666666666667,96
2,2016-01-26,0,96
3,2016-12-09,0.333333333333333,96
4,2017-01-25,0,96
1,2015-11-18,0.423076923076923,97
2,2016-01-27,0.166666666666667,97
3,2016-12-08,0.243589743589744,97
4,2017-01-27,0.269230769230769,97
1,2015-11-18,0.625,98
2,2016-02-04,0.375,98
3,2016-12-08,0.375,98
4,2017-01-28,0.625,98
1,2015-11-18,0.451612903225806,99
2,2016-01-26,0,99
3,2016-12-06,0.483870967741935,99
4,2017-02-01,0.419354838709677,99
1,2015-11-25,0.714285714285714,100
2,2016-01-28,0,100
3,2016-12-06,0.285714285714286,100
4,2017-02-08,0.142857142857143,100
1,2015-11-26,1,101
2,2016-01-26,0,101
3,2016-12-07,0,101
4,2017-01-25,0,101
1,2015-11-18,0.789473684210526,102
2,2016-01-26,0.421052631578947,102
