"grid_cell","round","date","prev","N"
2,1,2015-06-08,0,1
2,2,2015-11-19,0,76
2,3,2016-01-27,0,76
2,4,2016-05-26,0,1
2,5,2017-05-18,0,6
3,1,2015-06-08,0,1
3,2,2015-11-19,0,67
3,3,2016-01-27,0,67
3,4,2016-05-26,0,2
3,5,2017-05-18,0,6
4,2,2015-11-19,0,17
4,3,2016-01-28,0,17
4,5,2017-05-24,1,1
5,2,2015-11-19,0,48
5,3,2016-01-27,0,48
5,4,2016-05-26,0,2
6,1,2015-06-08,0,2
6,2,2015-11-18,0.0108695652173913,207
6,3,2016-01-28,0.0555555555555556,207
6,4,2016-05-29,0,2
6,5,2017-05-18,0.0909090909090909,11
7,1,2015-06-08,0,4
7,2,2015-11-20,0.0491803278688525,162
7,3,2016-01-28,0,162
7,4,2016-05-26,0.2,5
7,5,2017-05-24,0,2
8,1,2015-06-08,0,5
8,2,2015-11-19,0.0405405405405405,178
8,3,2016-01-28,0,178
8,4,2016-05-26,0,7
8,5,2017-05-19,0,9
10,2,2015-11-19,0,6
12,2,2015-11-27,0,5
13,2,2015-11-19,0.027027027027027,67
13,3,2016-01-28,0,67
13,5,2017-05-18,0.25,4
14,1,2015-06-09,0,1
14,2,2015-11-20,0.125,16
15,2,2015-11-20,0,9
16,2,2015-11-19,0,23
16,5,2017-05-24,0,1
18,2,2015-11-19,0,33
19,2,2015-11-19,0,20
19,3,2016-01-27,0,20
19,4,2016-05-26,0,2
19,5,2017-05-19,0,3
20,2,2015-11-22,0.0588235294117647,24
20,5,2017-05-19,0,3
21,1,2015-06-08,0,1
21,2,2015-11-19,0.0638297872340425,100
21,3,2016-01-27,0,100
21,4,2016-05-26,0,3
21,5,2017-05-19,0.166666666666667,6
22,1,2015-06-08,0,2
22,2,2015-11-19,0,47
22,3,2016-01-28,0,47
22,4,2016-05-27,0,4
22,5,2017-05-24,0,5
23,1,2015-06-08,0,2
23,2,2015-11-19,0,34
23,3,2016-01-27,0,34
23,5,2017-05-19,0.4,5
24,2,2015-11-19,0,10
25,2,2015-11-27,0,5
27,2,2015-11-26,0,11
28,2,2015-11-19,0.166666666666667,25
28,5,2017-05-26,0,2
29,1,2015-06-08,0,1
29,2,2015-11-19,0.0285714285714286,74
29,3,2016-01-27,0,74
29,5,2017-05-18,0.25,4
30,2,2015-11-26,0,5
31,2,2015-11-19,0,20
31,5,2017-05-18,0,1
32,2,2015-11-19,0,85
32,3,2016-01-27,0.0833333333333333,85
32,4,2016-05-27,0,4
32,5,2017-05-18,0,3
33,2,2015-11-22,0.0625,30
33,3,2016-01-27,0,30
33,5,2017-05-18,0,3
34,4,2016-05-27,0,1
35,2,2015-11-26,0,5
36,2,2015-11-19,0.5,6
39,2,2015-11-26,0,64
39,3,2016-01-27,0,64
39,4,2016-05-27,0,3
39,5,2017-05-22,0,2
40,2,2015-11-19,0,1
40,3,2016-01-27,0,1
41,2,2015-11-19,0.05,107
41,3,2016-01-27,0,107
41,4,2016-05-27,0,3
41,5,2017-05-18,0,3
42,2,2015-11-19,0,25
43,2,2015-11-26,0,3
46,2,2015-11-26,0,9
47,4,2016-05-27,0,1
49,2,2015-11-18,0.166666666666667,7
50,2,2015-11-25,0,30
50,3,2016-01-27,0,30
50,4,2016-05-20,0,2
52,2,2015-11-26,0,19
54,2,2015-11-25,0.0769230769230769,26
54,4,2016-06-02,0,2
55,2,2015-11-18,0.0277777777777778,51
55,3,2016-01-28,0,51
55,4,2016-05-26,0,2
56,2,2015-11-18,0,5
56,4,2016-05-20,0,1
57,2,2015-11-25,0.333333333333333,20
57,4,2016-05-21,0,2
58,2,2015-11-19,0,36
58,3,2016-01-27,0,36
58,5,2017-05-18,0,1
59,2,2015-11-26,0.0434782608695652,42
59,3,2016-01-27,0,42
59,5,2017-05-18,0,6
60,2,2015-11-19,0,36
60,3,2016-01-27,0,36
60,5,2017-05-26,0,1
61,2,2015-11-19,0,11
61,3,2016-01-27,0,11
62,2,2015-11-19,0,24
62,4,2016-05-27,0,2
62,5,2017-05-18,0,4
63,2,2015-11-18,0,17
63,3,2016-01-28,0,17
64,2,2015-11-26,0,16
66,2,2015-11-18,0,13
67,2,2015-11-18,0.111111111111111,46
67,3,2016-01-27,0,46
67,4,2016-05-27,0,1
67,5,2017-05-18,0,6
70,2,2015-11-25,0,1
71,3,2016-01-28,0,7
73,1,2015-06-09,0,2
73,2,2015-11-18,0,45
73,3,2016-01-28,0,45
73,4,2016-05-27,0,1
73,5,2017-05-18,0,2
74,2,2015-11-22,0,28
74,3,2016-01-27,0,28
74,4,2016-05-27,0,2
75,2,2015-11-26,0,29
75,4,2016-05-31,0,1
76,2,2015-11-18,0,5
76,3,2016-01-27,0,5
80,2,2015-11-18,0.0833333333333333,18
81,2,2015-11-18,0,21
81,3,2016-01-28,0,21
81,4,2016-05-27,0,1
81,5,2017-05-18,0,2
82,1,2015-06-10,0,1
82,2,2015-11-26,0,10
