"grid_cell","mid_x","mid_y","pop"
2,32.0732479765928,-24.4892778553404,76
3,32.0732479765928,-24.4802947024992,67
4,32.0832677638063,-24.5072441610228,17
5,32.0832677638063,-24.4982610081816,48
6,32.0832677638063,-24.4892778553404,207
7,32.0832677638063,-24.4802947024992,162
8,32.0832677638063,-24.471311549658,178
10,32.0932875510197,-24.6060588422759,6
11,32.0932875510197,-24.5521599252287,3
12,32.0932875510197,-24.5252104667051,5
13,32.0932875510197,-24.4892778553404,67
14,32.0932875510197,-24.4802947024992,16
15,32.0932875510197,-24.471311549658,9
16,32.0932875510197,-24.4623283968168,23
17,32.0932875510197,-24.4533452439756,3
18,32.0932875510197,-24.4443620911344,33
19,32.1033073382332,-24.6240251479583,20
20,32.1033073382332,-24.6150419951171,24
21,32.1033073382332,-24.6060588422759,100
22,32.1033073382332,-24.5970756894347,47
23,32.1033073382332,-24.4892778553404,34
24,32.1033073382332,-24.4443620911344,10
25,32.1133271254466,-24.749789287735,5
26,32.1133271254466,-24.704873523529,2
27,32.1133271254466,-24.6869072178467,11
28,32.1133271254466,-24.5880925365935,25
29,32.1133271254466,-24.4892778553404,74
30,32.1133271254466,-24.4802947024992,5
31,32.1233469126601,-24.7857218990998,20
32,32.1233469126601,-24.7677555934174,85
33,32.1233469126601,-24.7587724405762,30
34,32.1233469126601,-24.7228398292114,20
35,32.1233469126601,-24.6689409121643,5
36,32.1233469126601,-24.5880925365935,6
37,32.1233469126601,-24.5162273138639,5
38,32.1233469126601,-24.4802947024992,4
39,32.1333666998735,-24.7857218990998,64
40,32.1333666998735,-24.7767387462586,1
41,32.1333666998735,-24.7677555934174,107
42,32.1333666998735,-24.7587724405762,25
43,32.1333666998735,-24.749789287735,3
44,32.1333666998735,-24.7408061348938,7
45,32.1333666998735,-24.7228398292114,1
46,32.1333666998735,-24.704873523529,9
47,32.1333666998735,-24.5791093837523,20
48,32.1333666998735,-24.4892778553404,4
49,32.143386487087,-24.8036882047822,7
50,32.143386487087,-24.794705051941,30
51,32.143386487087,-24.7857218990998,16
52,32.143386487087,-24.7587724405762,19
53,32.143386487087,-24.5791093837523,5
54,32.1534062743005,-24.8306376633058,26
55,32.1534062743005,-24.8126713576234,51
56,32.1534062743005,-24.8036882047822,5
57,32.1634260615139,-24.8306376633058,20
58,32.1634260615139,-24.7408061348938,36
59,32.1634260615139,-24.7318229820526,42
60,32.1634260615139,-24.704873523529,36
61,32.1634260615139,-24.6958903706878,11
62,32.1734458487274,-24.7318229820526,24
63,32.1834656359408,-24.8306376633058,17
64,32.1834656359408,-24.6779240650055,16
66,32.1834656359408,-24.4892778553404,13
67,32.1834656359408,-24.4802947024992,46
68,32.1934854231543,-24.8306376633058,6
69,32.1934854231543,-24.8036882047822,2
70,32.1934854231543,-24.794705051941,1
71,32.1934854231543,-24.7677555934174,7
73,32.1934854231543,-24.4892778553404,45
74,32.1934854231543,-24.4802947024992,28
75,32.1934854231543,-24.471311549658,29
76,32.1934854231543,-24.4533452439756,5
77,32.2035052103677,-24.839620816147,4
78,32.2035052103677,-24.7677555934174,5
79,32.2035052103677,-24.7408061348938,4
80,32.2035052103677,-24.4982610081816,18
81,32.2035052103677,-24.4892778553404,21
82,32.2035052103677,-24.471311549658,10
83,32.2035052103677,-24.4623283968168,91
84,32.2035052103677,-24.4533452439756,15
86,32.2135249975812,-24.8036882047822,7
87,32.2135249975812,-24.794705051941,24
88,32.2135249975812,-24.7857218990998,1
89,32.2135249975812,-24.749789287735,6
90,32.2135249975812,-24.7408061348938,27
91,32.2135249975812,-24.5341936195463,1
92,32.2135249975812,-24.4982610081816,14
93,32.2135249975812,-24.4892778553404,8
94,32.2235447847947,-24.8036882047822,13
95,32.2235447847947,-24.7677555934174,4
96,32.2235447847947,-24.5341936195463,3
97,32.2235447847947,-24.4982610081816,78
98,32.2235447847947,-24.4892778553404,8
99,32.2335645720081,-24.8575871218294,31
100,32.2335645720081,-24.794705051941,7
101,32.2335645720081,-24.5521599252287,4
102,32.2335645720081,-24.5341936195463,19
103,32.2335645720081,-24.5072441610228,5
104,32.2335645720081,-24.4982610081816,50
105,32.2435843592216,-24.8665702746706,2
106,32.2435843592216,-24.8575871218294,2
107,32.253604146435,-24.8755534275118,44
108,32.253604146435,-24.8665702746706,10
109,32.253604146435,-24.8575871218294,12
110,32.253604146435,-24.5521599252287,3
111,32.2636239336485,-24.8755534275118,11
113,32.2636239336485,-24.5521599252287,7
114,32.2636239336485,-24.5431767723875,11
115,32.2736437208619,-24.9025028860353,12
117,32.2736437208619,-24.5431767723875,7
118,32.2736437208619,-24.5341936195463,1
119,32.2736437208619,-24.5252104667051,31
120,32.2736437208619,-24.5162273138639,20
121,32.2836635080754,-25.0821659428592,12
122,32.2836635080754,-24.9025028860353,4
123,32.2836635080754,-24.8935197331941,70
124,32.2836635080754,-24.884536580353,59
125,32.2836635080754,-24.5521599252287,31
126,32.2836635080754,-24.5341936195463,73
127,32.2836635080754,-24.5252104667051,93
128,32.2836635080754,-24.5162273138639,16
129,32.2936832952889,-25.118098554224,6
130,32.2936832952889,-25.1001322485416,6
131,32.2936832952889,-25.0911490957004,8
132,32.2936832952889,-25.0821659428592,5
133,32.2936832952889,-24.8755534275118,12
134,32.2936832952889,-24.8486039689882,17
135,32.2936832952889,-24.8306376633058,12
136,32.2936832952889,-24.8216545104646,21
137,32.2936832952889,-24.8126713576234,55
138,32.2936832952889,-24.5521599252287,25
139,32.2936832952889,-24.5341936195463,17
140,32.2936832952889,-24.5252104667051,63
141,32.3037030825023,-25.1091154013828,3
142,32.3037030825023,-25.073182790018,35
143,32.3037030825023,-25.0641996371769,11
144,32.3037030825023,-24.8755534275118,3
145,32.3037030825023,-24.8665702746706,12
146,32.3037030825023,-24.8575871218294,16
147,32.3037030825023,-24.8486039689882,18
148,32.3037030825023,-24.839620816147,10
149,32.3037030825023,-24.8216545104646,7
150,32.3037030825023,-24.5611430780699,4
151,32.3037030825023,-24.5431767723875,4
152,32.3037030825023,-24.5341936195463,81
153,32.3037030825023,-24.5252104667051,2
154,32.3037030825023,-24.2916484928341,10
155,32.3137228697158,-25.1360648599064,8
156,32.3137228697158,-25.1270817070652,1
157,32.3137228697158,-25.118098554224,21
158,32.3137228697158,-25.1091154013828,22
159,32.3137228697158,-25.1001322485416,2
