"event","fulldate","cov_all","killing","duration","grid_cell"
1,2016-03-05,0.5,0.9,180,46
1,2016-03-05,0.666666666666667,0.9,180,54
1,2014-07-06,0.333333333333333,0.9,180,62
1,2016-01-06,0.5,0.9,180,77
1,2016-02-05,1,0.9,180,78
1,2014-09-06,0.333333333333333,0.9,180,79
1,2016-02-05,1,0.9,180,80
1,2013-03-25,1,0.9,180,83
1,2012-01-14,1,0.9,180,84
1,2016-01-05,0.6,0.9,180,86
1,2016-02-03,1,0.9,180,87
1,2016-01-19,0.857142857142857,0.9,180,88
1,2016-01-04,1,0.9,180,89
1,2016-02-05,1,0.9,180,90
1,2015-03-04,1,0.9,180,91
1,2016-02-04,1,0.9,180,95
1,2016-02-04,1,0.9,180,97
1,2016-02-05,1,0.9,180,98
1,2015-11-09,1,0.9,180,103
1,2016-01-26,1,0.9,180,157
1,2016-01-26,1,0.9,180,164
1,2016-01-29,0.714285714285714,0.9,180,181
1,2016-01-25,0.909090909090909,0.9,180,189
1,2016-01-28,0.5,0.9,180,199
1,2016-01-27,0.461538461538462,0.9,180,200
1,2016-01-24,0.375,0.9,180,207
1,2016-01-25,0.5,0.9,180,208
1,2015-12-13,0.8,0.9,180,217
1,2015-12-30,0.5,0.9,180,219
1,2016-01-24,0.875,0.9,180,222
1,2016-01-24,0.666666666666667,0.9,180,223
1,2015-05-16,1,0.9,180,230
1,2016-01-30,1,0.9,180,237
1,2016-01-23,0.285714285714286,0.9,180,241
1,2014-12-13,1,0.9,180,247
1,2015-03-19,1,0.9,180,251
2,2015-12-15,1,0.9,180,251
1,2015-03-19,1,0.9,180,252
2,2015-12-29,1,0.9,180,252
1,2016-01-30,1,0.9,180,257
1,2015-04-12,1,0.9,180,265
1,2014-12-14,1,0.9,180,268
1,2016-01-23,0.6,0.9,180,279
1,2016-01-22,0.8,0.9,180,280
1,2016-01-21,0.714285714285714,0.9,180,281
1,2015-04-13,0.75,0.9,180,288
1,2014-12-14,0.666666666666667,0.9,180,289
1,2014-12-14,1,0.9,180,290
1,2014-12-14,1,0.9,180,291
1,2015-08-11,0.5,0.9,180,293
1,2016-01-22,0.7,0.9,180,305
1,2016-01-22,0.875,0.9,180,306
1,2015-04-13,1,0.9,180,313
1,2015-04-12,1,0.9,180,314
1,2015-04-10,0.5,0.9,180,319
1,2016-01-20,0.666666666666667,0.9,180,331
1,2016-01-20,0.333333333333333,0.9,180,332
1,2016-01-12,0.666666666666667,0.9,180,334
1,2016-02-12,0.5,0.9,180,335
1,2014-12-11,0.333333333333333,0.9,180,340
1,2015-04-10,0.333333333333333,0.9,180,344
1,2015-04-10,0.75,0.9,180,345
1,2016-01-24,1,0.9,180,357
1,2016-01-20,1,0.9,180,358
1,2016-01-11,0.6,0.9,180,360
1,2016-02-11,1,0.9,180,361
1,2015-12-26,1,0.9,180,367
1,2015-03-14,1,0.9,180,370
1,2015-03-14,0.666666666666667,0.9,180,371
1,2015-04-11,1,0.9,180,374
1,2015-04-09,0.5,0.9,180,377
1,2015-04-09,0.333333333333333,0.9,180,378
1,2016-01-18,0.333333333333333,0.9,180,380
1,2013-06-02,0.333333333333333,0.9,180,384
2,2016-01-17,0.333333333333333,0.9,180,384
1,2015-01-19,0.333333333333333,0.9,180,385
1,2016-01-26,1,0.9,180,395
1,2014-06-28,0.25,0.9,180,396
1,2015-03-14,1,0.9,180,402
1,2015-04-11,1,0.9,180,403
1,2014-12-17,1,0.9,180,404
1,2015-04-25,0.666666666666667,0.9,180,405
2,2016-01-17,0.666666666666667,0.9,180,405
1,2014-12-19,0.333333333333333,0.9,180,418
1,2016-01-17,1,0.9,180,421
1,2016-01-30,1,0.9,180,429
1,2015-12-16,1,0.9,180,430
1,2015-03-15,1,0.9,180,435
1,2015-04-10,1,0.9,180,436
1,2015-04-10,0.4,0.9,180,437
1,2014-12-17,0.6,0.9,180,438
1,2016-01-16,1,0.9,180,439
1,2016-01-17,1,0.9,180,440
1,2015-03-19,1,0.9,180,447
1,2015-01-17,0.5,0.9,180,448
1,2014-06-20,1,0.9,180,450
1,2014-12-28,0.5,0.9,180,452
1,2014-12-14,0.5,0.9,180,467
1,2015-03-15,1,0.9,180,473
1,2015-03-15,0.25,0.9,180,474
