"event","fulldate","cov_all","age_cov","min_season_cov","fast_fraction","grid_cell"
1,2011-06-15,0.285714285714286,0.65,0.5,0.6,40
1,2012-04-18,0.6,0.65,0.5,0.6,41
1,2010-07-07,0.6,0.65,0.5,0.6,42
1,2014-06-05,0.5,0.65,0.5,0.6,46
1,2015-01-10,0.9,0.65,0.5,0.6,47
1,2010-06-15,0.666666666666667,0.65,0.5,0.6,49
1,2010-06-15,0.75,0.65,0.5,0.6,50
1,2014-07-05,0.333333333333333,0.65,0.5,0.6,59
1,2014-06-06,0.615384615384615,0.65,0.5,0.6,60
2,2014-10-03,0.818181818181818,0.65,0.5,0.6,60
1,2014-07-07,1,0.65,0.5,0.6,61
1,2014-06-05,0.9,0.65,0.5,0.6,62
2,2014-07-12,0.454545454545455,0.65,0.5,0.6,62
1,2010-06-19,0.5,0.65,0.5,0.6,65
1,2011-06-19,1,0.65,0.5,0.6,66
1,2014-06-04,1,0.65,0.5,0.6,68
1,2014-06-07,0.533333333333333,0.65,0.5,0.6,69
2,2014-07-05,0.888888888888889,0.65,0.5,0.6,69
1,2014-05-04,0.692307692307692,0.65,0.5,0.6,70
2,2014-06-07,0.8,0.65,0.5,0.6,70
1,2014-07-06,1,0.65,0.5,0.6,71
2,2014-12-10,0.333333333333333,0.65,0.5,0.6,71
1,2014-07-07,1,0.65,0.5,0.6,72
2,2014-07-11,0.625,0.65,0.5,0.6,72
1,2010-06-15,0.5,0.65,0.5,0.6,73
1,2012-10-17,0.5,0.65,0.5,0.6,75
1,2014-12-07,0.9,0.65,0.5,0.6,77
1,2014-09-02,0.684210526315789,0.65,0.5,0.6,78
2,2014-09-12,0.5,0.65,0.5,0.6,78
1,2014-08-05,1,0.65,0.5,0.6,79
2,2014-08-07,0.5,0.65,0.5,0.6,79
3,2014-09-12,0.777777777777778,0.65,0.5,0.6,79
1,2014-07-05,0.647058823529412,0.65,0.5,0.6,80
2,2014-09-12,0.6,0.65,0.5,0.6,80
1,2014-07-13,0.55,0.65,0.5,0.6,81
2,2014-08-07,0.428571428571429,0.65,0.5,0.6,81
1,2014-06-11,0.8,0.65,0.5,0.6,82
2,2014-08-06,1,0.65,0.5,0.6,82
1,2013-02-22,0.5,0.65,0.5,0.6,83
1,2012-08-15,1,0.65,0.5,0.6,85
1,2014-06-03,0.904761904761905,0.65,0.5,0.6,86
2,2014-12-06,0.571428571428571,0.65,0.5,0.6,86
1,2014-08-05,0.45,0.65,0.5,0.6,87
2,2014-09-09,0.714285714285714,0.65,0.5,0.6,87
1,2014-06-21,0.666666666666667,0.65,0.5,0.6,88
2,2014-11-23,0.583333333333333,0.65,0.5,0.6,88
1,2014-05-06,0.777777777777778,0.65,0.5,0.6,89
2,2014-09-08,0.466666666666667,0.65,0.5,0.6,89
1,2014-12-09,0.5,0.65,0.5,0.6,90
1,2015-03-04,1,0.65,0.5,0.6,91
1,2014-06-06,1,0.65,0.5,0.6,95
1,2014-06-06,0.916666666666667,0.65,0.5,0.6,96
2,2014-08-08,0.428571428571429,0.65,0.5,0.6,96
1,2013-03-07,0.666666666666667,0.65,0.5,0.6,97
2,2014-06-06,1,0.65,0.5,0.6,97
3,2014-12-08,1,0.65,0.5,0.6,97
1,2014-12-09,0.833333333333333,0.65,0.5,0.6,99
1,2012-07-18,0.857142857142857,0.65,0.5,0.6,101
2,2012-07-24,1,0.65,0.5,0.6,101
3,2012-08-15,1,0.65,0.5,0.6,101
4,2012-09-24,0.666666666666667,0.65,0.5,0.6,101
5,2012-11-10,0.818181818181818,0.65,0.5,0.6,101
1,2012-06-24,0.571428571428571,0.65,0.5,0.6,102
2,2012-07-18,0.6,0.65,0.5,0.6,102
3,2012-07-26,0.833333333333333,0.65,0.5,0.6,102
4,2012-08-11,1,0.65,0.5,0.6,102
5,2012-09-15,0.8,0.65,0.5,0.6,102
1,2012-08-07,0.521739130434783,0.65,0.5,0.6,103
1,2012-07-26,0.818181818181818,0.65,0.5,0.6,104
2,2012-08-15,0.888888888888889,0.65,0.5,0.6,104
