"event","fulldate","cov_all","grid_cell"
1,2015-09-12,0.8,45
1,2016-03-05,0.8,46
1,2015-09-11,0.8,47
1,2015-09-11,0.8,53
1,2016-03-05,0.8,54
1,2014-12-04,0.8,59
1,2014-12-04,0.362264150943396,60
2,2015-09-12,0.452830188679245,60
3,2016-03-06,0.8,60
1,2014-12-06,0.35,61
2,2015-09-12,0.8,61
1,2014-12-05,0.608,62
2,2015-09-11,0.8,62
1,2015-09-12,0.8,67
1,2014-12-04,0.765217391304348,68
2,2015-09-12,0.8,68
1,2014-12-04,0.391836734693878,69
2,2015-09-11,0.440816326530612,69
3,2016-03-05,0.8,69
1,2014-12-03,0.8,70
2,2015-09-10,0.547368421052632,70
3,2016-03-07,0.189473684210526,70
1,2014-12-05,0.509090909090909,71
2,2015-09-10,0.8,71
1,2014-12-06,0.8,72
2,2015-09-10,0.568421052631579,72
1,2015-09-12,0.8,76
1,2014-12-04,0.266666666666667,77
2,2015-09-12,0.8,77
3,2016-03-07,0.6,77
1,2014-12-03,0.68,78
2,2015-09-11,0.8,78
3,2016-03-07,0.64,78
1,2014-12-05,0.8,79
2,2015-09-12,0.6,79
3,2016-03-07,0.64,79
1,2014-12-04,0.8,80
2,2015-09-12,0.731428571428571,80
3,2016-03-07,0.8,80
1,2015-09-10,0.590769230769231,81
2,2016-03-05,0.8,81
1,2014-12-06,0.130232558139535,82
2,2015-09-10,0.27906976744186,82
3,2016-03-06,0.8,82
1,2014-12-04,0.533333333333333,86
2,2015-09-12,0.43921568627451,86
3,2016-03-06,0.8,86
1,2014-12-05,0.646808510638298,87
2,2015-09-11,0.680851063829787,87
3,2016-03-05,0.8,87
1,2014-12-06,0.448780487804878,88
2,2015-09-08,0.604878048780488,88
3,2016-03-06,0.8,88
1,2014-12-05,0.8,89
2,2015-09-08,0.716666666666667,89
3,2016-03-05,0.45,89
1,2015-09-09,0.584615384615385,90
2,2016-03-07,0.8,90
1,2015-09-03,0.8,91
1,2014-12-06,0.363636363636364,95
2,2015-09-11,0.8,95
3,2016-03-06,0.727272727272727,95
1,2014-12-06,0.8,96
2,2015-09-08,0.702040816326531,96
3,2016-03-06,0.424489795918367,96
1,2014-12-06,0.8,97
2,2015-09-08,0.114285714285714,97
3,2016-03-06,0.342857142857143,97
1,2016-03-07,0.8,98
1,2015-09-09,0.8,99
1,2015-09-09,0.8,100
1,2016-02-09,0.8,103
1,2015-09-23,0.8,106
1,2015-09-20,0.8,107
1,2015-09-10,0.8,108
1,2015-09-14,0.8,109
1,2016-03-07,0.8,113
1,2015-09-10,0.8,114
1,2015-09-10,0.8,115
1,2015-09-12,0.8,116
2,2016-03-04,0.380952380952381,116
1,2015-09-13,0.746666666666667,117
2,2016-03-03,0.8,117
1,2014-12-21,0.276923076923077,118
2,2015-09-14,0.8,118
3,2016-03-06,0.246153846153846,118
1,2015-09-14,0.8,119
1,2015-09-14,0.8,121
1,2015-09-14,0.8,122
2,2016-03-03,0.4,122
1,2014-12-21,0.8,123
1,2014-12-20,0.4,124
2,2015-09-14,0.8,124
1,2015-09-14,0.8,130
1,2015-09-15,0.8,131
1,2014-12-21,0.48,132
2,2015-09-14,0.8,132
1,2014-12-20,0.8,133
1,2014-12-20,0.8,134
2,2015-09-15,0.557575757575758,134
1,2015-10-03,0.8,135
1,2015-10-03,0.8,136
2,2016-02-26,0.444444444444444,136
1,2015-09-14,0.8,139
2,2016-03-03,0.611764705882353,139
1,2016-03-02,0.8,140
1,2014-12-20,0.266666666666667,141
2,2016-03-02,0.8,141
1,2014-12-20,0.761904761904762,142
2,2015-09-15,0.8,142
1,2014-12-20,0.363636363636364,143
2,2015-09-16,0.8,143
1,2014-12-19,0.517647058823529,144
2,2015-10-02,0.8,144
1,2014-12-19,0.103703703703704,145
2,2015-10-02,0.8,145
1,2014-12-18,0.8,146
2,2015-10-02,0.364705882352941,146
1,2014-12-18,0.549019607843137,147
2,2015-10-02,0.8,147
1,2015-09-14,0.8,149
2,2016-03-03,0.389189189189189,149
1,2014-12-20,0.622222222222222,150
2,2015-09-14,0.711111111111111,150
3,2016-03-01,0.8,150
1,2014-12-20,0.293333333333333,151
2,2015-09-15,0.8,151
3,2016-03-01,0.613333333333333,151
1,2014-12-20,0.3,152
2,2015-09-15,0.35,152
3,2016-03-03,0.8,152
1,2014-12-21,0.8,153
2,2015-09-15,0.635897435897436,153
1,2014-12-21,0.52,154
2,2015-09-16,0.8,154
3,2016-03-01,0.76,154
1,2014-12-19,0.475675675675676,155
2,2015-10-02,0.8,155
3,2016-02-26,0.367567567567568,155
1,2014-12-19,0.457142857142857,156
2,2015-10-02,0.8,156
3,2016-02-26,0.242857142857143,156
1,2014-12-19,0.47741935483871,157
2,2015-10-01,0.8,157
3,2016-02-26,0.374193548387097,157
1,2014-12-19,0.8,158
2,2015-10-01,0.628571428571429,158
1,2014-12-19,0.571428571428572,159
2,2015-10-02,0.8,159
1,2015-09-14,0.8,161
1,2014-12-20,0.195918367346939,162
2,2015-09-15,0.8,162
3,2016-03-01,0.73469387755102,162
