"event","fulldate","cov_all","grid_cell"
1,2012-06-15,0.8,1
1,2012-06-22,0.8,2
1,2012-06-22,0.8,3
1,2012-06-13,0.8,4
1,2012-06-13,0.8,5
1,2012-06-13,0.8,6
1,2012-06-16,0.8,7
1,2012-06-13,0.8,8
1,2012-06-12,0.8,9
1,2012-06-16,0.8,10
1,2012-06-17,0.8,11
1,2012-06-23,0.8,12
1,2012-06-16,0.8,13
1,2012-06-17,0.8,14
1,2012-06-18,0.8,15
1,2012-06-19,0.8,16
1,2012-06-14,0.8,17
1,2012-06-21,0.8,18
1,2012-06-26,0.8,19
2,2012-08-29,0.004099560761347,19
1,2012-06-21,0.8,20
2,2012-08-29,0.014336917562724,20
1,2012-06-25,0.8,21
1,2012-06-22,0.8,22
1,2012-06-18,0.8,23
1,2012-06-19,0.8,24
1,2012-06-20,0.8,25
1,2012-06-24,0.8,26
1,2012-06-21,0.8,27
1,2012-06-20,0.8,28
1,2012-06-23,0.8,29
1,2012-06-20,0.8,30
1,2012-06-29,0.8,31
1,2012-07-01,0.8,32
1,2012-06-29,0.8,33
1,2012-06-30,0.8,34
1,2012-06-30,0.8,35
1,2012-06-17,0.8,36
2,2012-08-21,0.419132369299221,36
3,2012-11-02,0.201557285873192,36
4,2013-06-10,0.253615127919911,36
5,2013-08-06,0.130812013348165,36
6,2013-10-07,0.246941045606229,36
1,2012-06-22,0.8,37
1,2012-06-14,0.8,38
1,2012-06-13,0.8,39
1,2012-06-13,0.8,40
1,2012-06-18,0.8,41
1,2012-06-18,0.8,42
1,2012-06-18,0.8,43
1,2012-06-18,0.8,44
1,2012-06-15,0.8,45
1,2012-06-21,0.8,48
1,2012-06-14,0.8,49
1,2012-06-14,0.8,50
1,2012-06-15,0.8,51
1,2012-06-18,0.8,52
1,2012-06-14,0.8,55
1,2012-06-18,0.8,56
1,2012-06-15,0.8,57
1,2012-06-18,0.8,58
1,2012-06-14,0.8,63
1,2012-06-14,0.8,64
1,2012-06-18,0.8,65
1,2012-06-18,0.8,66
1,2012-06-14,0.8,73
1,2012-06-14,0.8,74
1,2013-06-18,0.8,75
2,2013-08-11,0.355555555555556,75
1,2013-06-10,0.8,83
1,2012-06-14,0.04,84
2,2013-09-26,0.8,84
1,2012-09-07,0.589473684210526,85
2,2012-11-15,0.8,85
1,2013-08-21,0.8,92
1,2013-06-18,0.666666666666667,93
2,2013-08-11,0.8,93
1,2012-11-15,0.8,94
1,2012-08-24,0.547368421052632,101
2,2012-11-15,0.547368421052632,101
3,2013-06-18,0.505263157894737,101
4,2013-08-11,0.631578947368421,101
5,2013-10-25,0.8,101
1,2012-08-24,0.618181818181818,102
2,2012-11-15,0.8,102
3,2013-06-18,0.218181818181818,102
4,2013-08-11,0.472727272727273,102
5,2013-10-25,0.545454545454545,102
1,2012-09-07,0.8,103
2,2013-06-18,0.0810126582278481,103
1,2012-11-15,0.290909090909091,104
2,2013-06-18,0.190909090909091,104
3,2013-08-11,0.372727272727273,104
4,2013-10-25,0.8,104
1,2012-11-15,0.8,105
1,2012-11-15,0.6,110
2,2013-06-18,0.8,110
1,2012-11-15,0.8,111
2,2013-06-18,0.4,111
1,2012-11-15,0.342857142857143,112
2,2013-06-18,0.8,112
1,2012-08-24,0.576,120
2,2012-11-15,0.64,120
3,2013-06-18,0.8,120
4,2013-08-11,0.48,120
5,2013-10-25,0.16,120
1,2012-08-24,0.8,125
2,2012-11-15,0.681481481481482,125
3,2013-06-18,0.474074074074074,125
4,2013-08-11,0.77037037037037,125
5,2013-10-25,0.474074074074074,125
1,2013-08-11,0.8,126
1,2013-06-18,0.8,127
2,2013-08-11,0.8,127
1,2013-06-18,0.8,128
2,2013-08-11,0.505263157894737,128
1,2012-09-03,0.48,129
2,2012-10-29,0.8,129
3,2013-06-04,0.426666666666667,129
1,2012-09-03,0.8,137
2,2012-10-29,0.8,137
3,2013-06-04,0.8,137
1,2012-09-03,0.4,138
2,2012-10-29,0.357894736842105,138
3,2013-06-04,0.8,138
4,2013-08-22,0.484210526315789,138
5,2013-09-15,0.126315789473684,138
1,2012-09-03,0.571428571428572,148
2,2013-06-04,0.8,148
3,2013-08-22,0.685714285714286,148
1,2013-10-15,0.8,160
1,2013-06-18,0.8,167
1,2012-09-03,0.64,168
2,2012-10-29,0.8,168
3,2013-06-04,0.32,168
1,2012-09-03,0.685714285714286,169
2,2012-10-29,0.533333333333333,169
3,2013-06-04,0.8,169
4,2013-08-22,0.380952380952381,169
1,2012-09-03,0.285714285714286,170
2,2012-10-29,0.428571428571429,170
3,2013-06-04,0.171428571428571,170
4,2013-08-22,0.8,170
5,2013-10-15,0.0857142857142857,170
1,2012-09-03,0.8,179
2,2013-06-04,0.2,179
1,2013-06-19,0.8,192
1,2012-11-13,0.8,193
1,2012-09-03,0.492307692307692,194
2,2012-10-29,0.8,194
3,2013-06-04,0.553846153846154,194
1,2012-09-04,0.738461538461539,195
2,2012-10-29,0.369230769230769,195
3,2013-06-04,0.492307692307692,195
4,2013-08-22,0.8,195
5,2013-10-15,0.492307692307692,195
1,2012-09-04,0.8,196
2,2012-10-29,0.673684210526316,196
3,2013-06-04,0.463157894736842,196
4,2013-08-22,0.505263157894737,196
5,2013-10-15,0.673684210526316,196
1,2012-09-04,0.378947368421053,197
2,2012-10-29,0.505263157894737,197
3,2013-06-04,0.8,197
4,2013-08-22,0.0421052631578947,197
5,2013-10-15,0.336842105263158,197
1,2013-06-19,0.8,210
1,2013-08-22,0.8,211
1,2012-09-04,0.733333333333333,212
2,2012-10-29,0.466666666666667,212
3,2013-08-22,0.8,212
4,2013-10-15,0.266666666666667,212
1,2012-09-04,0.8,213
2,2012-10-29,0.4,213
3,2013-10-15,0.48,213
1,2012-08-16,0.252631578947368,226
2,2012-11-11,0.463157894736842,226
3,2013-06-20,0.8,226
1,2013-08-22,0.8,227
2,2013-10-15,0.533333333333333,227
1,2013-06-04,0.8,228
1,2012-09-04,0.533333333333333,229
2,2012-10-29,0.333333333333333,229
3,2013-06-04,0.4,229
4,2013-08-22,0.266666666666667,229
5,2013-10-15,0.8,229
1,2012-09-04,0.363636363636364,230
2,2012-10-29,0.339393939393939,230
3,2013-08-22,0.16969696969697,230
4,2013-10-15,0.8,230
1,2012-07-05,0.152380952380952,231
2,2012-09-04,0.228571428571429,231
3,2012-10-29,0.8,231
4,2013-06-04,0.266666666666667,231
1,2012-09-11,0.246153846153846,232
2,2012-10-29,0.492307692307692,232
3,2013-06-04,0.369230769230769,232
4,2013-08-22,0.8,232
5,2013-10-15,0.676923076923077,232
1,2012-09-11,0.8,233
2,2012-10-29,0.8,233
3,2013-06-04,0.2,233
1,2012-06-26,0.366666666666667,248
2,2012-08-16,0.8,248
3,2012-11-11,0.566666666666667,248
4,2013-06-20,0.666666666666667,248
5,2013-08-14,0.366666666666667,248
1,2013-06-04,0.8,249
2,2013-08-22,0.8,249
1,2013-06-04,0.8,250
2,2013-08-22,0.8,250
1,2012-07-06,0.32,251
2,2012-09-11,0.8,251
3,2012-10-29,0.737777777777778,251
4,2013-06-04,0.577777777777778,251
5,2013-08-22,0.382222222222222,251
6,2013-10-15,0.302222222222222,251
1,2012-09-11,0.8,252
2,2012-10-29,0.8,252
1,2012-11-13,0.584615384615385,269
2,2013-06-19,0.676923076923077,269
3,2013-08-12,0.8,269
4,2013-10-25,0.461538461538462,269
1,2013-10-25,0.8,270
1,2012-06-28,0.266666666666667,271
2,2012-08-17,0.77037037037037,271
3,2012-11-13,0.8,271
4,2013-06-19,0.592592592592593,271
5,2013-10-25,0.296296296296296,271
1,2012-06-28,0.463157894736842,272
2,2012-08-17,0.505263157894737,272
3,2012-11-13,0.294736842105263,272
4,2013-06-19,0.336842105263158,272
5,2013-10-25,0.8,272
1,2012-07-05,0.254545454545455,273
2,2012-09-11,0.327272727272727,273
3,2013-06-04,0.472727272727273,273
4,2013-08-22,0.8,273
5,2013-10-15,0.4,273
1,2012-06-27,0.8,292
2,2012-08-16,0.363636363636364,292
3,2012-11-11,0.436363636363636,292
4,2013-08-14,0.363636363636364,292
5,2013-10-23,0.436363636363636,292
1,2012-11-13,0.48,293
2,2013-06-19,0.64,293
3,2013-10-25,0.8,293
1,2012-06-28,0.4,294
2,2012-08-17,0.52,294
3,2012-11-13,0.36,294
4,2013-06-19,0.44,294
5,2013-08-12,0.48,294
6,2013-10-25,0.8,294
1,2012-06-28,0.8,295
2,2012-11-13,0.45,295
1,2012-06-28,0.133333333333333,296
2,2012-08-17,0.45,296
3,2012-11-13,0.183333333333333,296
4,2013-06-19,0.8,296
5,2013-08-12,0.4,296
6,2013-10-25,0.116666666666667,296
1,2012-11-11,0.8,321
1,2013-10-25,0.8,322
1,2013-10-25,0.8,323
1,2012-11-13,0.32,324
2,2013-06-19,0.8,324
3,2013-08-12,0.64,324
1,2012-06-28,0.407547169811321,347
2,2012-08-17,0.8,347
3,2012-11-13,0.316981132075472,347
4,2013-06-19,0.332075471698113,347
