"grid_cell","round","prev","N"
1,1,0,16
2,1,0,17
3,1,0,1
4,1,0,19
5,1,0,27
6,1,0,50
7,1,0,18
8,1,0.142857142857143,7
9,1,0,26
10,1,0,111
11,1,0.0117647058823529,94
12,1,0,148
13,1,0.00442477876106195,245
14,1,0,326
15,1,0,283
16,1,0.00571428571428571,196
17,1,0,214
18,1,0.00614754098360656,542
19,1,0.00451263537906137,1366
19,2,0,7
20,1,0.0023094688221709,558
20,2,0,10
21,1,0.0045045045045045,272
22,1,0.0045662100456621,273
23,1,0.0218978102189781,209
24,1,0.00480769230769231,251
25,1,0,234
26,1,0.00483091787439614,260
27,1,0,114
28,1,0.0784313725490196,60
29,1,0,29
30,1,0,64
31,1,0,52
32,1,0,64
33,1,0,40
34,1,0.0087719298245614,122
35,1,0.0277777777777778,40
36,1,0.102122015915119,1798
36,2,0.0506798516687268,942
36,3,0.0588235294117647,453
36,4,0.207243460764588,570
36,5,0.138211382113821,294
36,6,0.126385809312639,555
37,1,0,21
38,1,0,13
39,1,0,12
40,1,0,14
41,1,0,27
42,1,0,24
43,1,0,1
44,1,0,1
45,1,0,4
45,9,0,24
46,10,0,20
47,9,0,20
48,1,0,3
49,1,0.111111111111111,9
50,1,0.1,10
51,1,0,6
52,1,0,10
53,9,0,20
54,10,0,10
55,1,0,9
56,1,0,16
57,1,0,2
58,1,0,4
59,7,0,11
60,7,0,24
60,9,0,30
60,10,0,53
61,7,0,7
61,9,0,16
62,7,0,21
62,9,0,25
63,1,0,12
64,1,0,20
65,1,0,6
66,1,0,1
67,9,0,11
68,7,0,24
68,9,0,23
69,7,0,24
69,9,0,27
69,10,0,49
70,7,0,38
70,9,0,26
70,10,0,9
71,7,0,14
71,9,0,22
72,7,0,41
72,9,0.0526315789473684,27
73,1,0,7
74,1,0,10
75,4,0.37037037037037,27
75,5,0,12
76,9,0,7
77,7,0,8
77,9,0,24
77,10,0,18
78,7,0,49
78,9,0,40
78,10,0,32
79,7,0.0555555555555556,20
79,9,0,15
79,10,0,16
80,7,0,36
80,9,0,32
80,10,0,35
81,9,0,48
81,10,0,65
82,7,0,8
82,9,0,15
82,10,0,43
83,4,1,2
84,1,1,1
84,6,0.444444444444444,20
85,2,0.357142857142857,14
85,3,0.157894736842105,19
86,7,0,36
86,9,0,28
86,10,0,51
87,7,0,41
87,9,0,40
87,10,0,47
88,7,0,23
88,9,0,31
88,10,0,41
89,7,0,48
89,9,0,43
89,10,0,27
90,9,0,19
90,10,0,26
91,9,0.5,2
92,5,0,5
93,4,0.3,10
93,5,0.166666666666667,12
94,3,0.5,10
95,7,0,5
95,9,0,11
95,10,0,10
96,7,0,49
96,9,0,43
96,10,0,26
97,7,0,14
97,9,0,2
97,10,0,6
98,10,0,6
99,9,0.0555555555555556,18
100,9,0,21
101,2,0.384615384615385,13
101,3,0.0769230769230769,13
101,4,0,12
101,5,0,15
101,6,0.0526315789473684,19
102,2,0.588235294117647,34
102,3,0,44
102,4,0.166666666666667,12
102,5,0.0769230769230769,26
102,6,0.0333333333333333,30
103,2,0.181818181818182,79
103,4,0,8
103,10,0,4
104,3,0.483870967741935,32
104,4,0,21
104,5,0.0256410256410256,41
104,6,0.0795454545454545,88
105,3,0,4
106,9,0,8
107,9,0,5
108,9,0,13
109,9,0,5
110,3,0,6
110,4,0,8
111,3,0.25,8
111,4,0,4
112,3,0,6
112,4,0.142857142857143,14
113,10,0,7
114,9,0,11
115,9,0,21
116,9,0,21
116,10,0,10
117,9,0,14
117,10,0,15
118,7,0,9
118,9,0,26
118,10,0,8
119,9,0,5
120,2,0,18
120,3,0,20
120,4,0,25
120,5,0,15
120,6,0,5
121,9,0,17
122,9,0,34
122,10,0,17
123,7,0,11
124,7,0,6
124,9,0,12
125,2,0.0384615384615385,27
125,3,0,23
125,4,0,16
125,5,0,26
125,6,0,16
126,5,0.28,25
127,4,0,10
127,5,0,10
128,4,0,19
128,5,0,12
129,2,0.111111111111111,9
129,3,0,15
129,4,0,8
130,9,0,10
131,9,0,9
132,7,0,3
132,9,0,5
133,7,0,7
134,7,0,33
134,9,0,23
135,9,0,11
136,9,0,54
136,10,0,30
137,2,0,4
137,3,0,4
137,4,NA,4
138,2,0,19
138,3,0,17
138,4,0.0714285714285714,38
138,5,0,23
138,6,0,6
139,9,0,17
139,10,0,13
140,10,0,9
141,7,0,7
141,10,0,21
142,7,0,21
142,9,0,21
143,7,0,10
143,9,0,22
144,7,0,11
144,9,0,17
145,7,0,7
145,9,0,54
146,7,0,70
146,9,0,31
147,7,0,35
147,9,0,51
148,2,0.2,5
148,4,0,7
148,5,0.166666666666667,6
149,9,0,37
149,10,0,18
150,7,0,21
150,9,0,24
150,10,0,27
151,7,0,11
151,9,0,30
151,10,0,23
152,7,0,6
152,9,0,7
152,10,0,16
153,7,0,39
153,9,0,31
154,7,0,13
154,9,0,20
154,10,0,19
155,7,0,25
155,9,0,37
155,10,0,17
156,7,0,32
156,9,0,56
156,10,0,17
157,7,0,37
157,9,0.0161290322580645,62
157,10,0,29
158,7,0,42
158,9,0,33
159,7,0,10
159,9,0,14
160,6,0,4
161,9,0,18
162,7,0,12
162,9,0,49
162,10,0,45
163,7,0,32
163,9,0,38
163,10,0,31
164,7,0,22
164,9,0,17
164,10,0,21
165,7,0,32
165,9,0,57
165,10,0,10
166,7,0,9
166,9,0,7
167,4,0.125,9
168,2,0,8
168,3,0,10
168,4,0,4
169,2,0,18
169,3,0,14
169,4,0,21
169,5,0,10
169,7,0,67
170,2,0,10
170,3,0,15
170,4,0,6
170,5,0.0357142857142857,28
170,6,0,3
171,9,0,9
172,7,0.05,23
172,9,0,52
172,10,0,12
173,7,0,33
173,9,0,66
173,10,0,47
174,7,0,43
174,9,0.0454545454545455,35
175,7,0,14
175,9,0,10
176,9,0,26
177,7,0,21
177,9,0,14
178,7,0,24
178,9,0,5
178,10,0,20
179,2,0,4
179,4,0,1
180,7,0,12
180,9,0,28
181,7,0,37
181,9,0,77
181,10,0,38
182,9,0,19
183,7,0,17
183,9,0,20
184,7,0,14
184,9,0,30
185,7,0,4
185,9,0,33
186,7,0,21
186,9,0,16
186,10,0,11
187,7,0,15
187,9,0,39
187,10,0,22
188,7,0,76
188,9,0,51
188,10,0,23
189,7,0,75
189,9,0.0588235294117647,19
189,10,0,68
190,9,0,10
191,9,0.111111111111111,9
192,4,0,3
193,3,0.2,15
194,2,0,8
194,3,0,13
194,4,0,9
195,2,0.0833333333333333,12
195,3,0.166666666666667,6
195,4,0,8
195,5,0,13
195,6,0,8
196,2,0.0526315789473684,19
196,3,0,16
196,4,0,11
196,5,0,12
196,6,0,16
196,7,0,5
197,2,0.111111111111111,9
197,3,0,12
197,4,0.0526315789473684,19
197,5,0,1
197,6,0,8
197,7,0,2
198,9,0.222222222222222,19
199,7,0.0294117647058824,34
199,9,0,18
199,10,0,37
200,7,0,74
200,9,0,53
200,10,0,71
201,7,0,6
201,9,0,15
201,10,0,16
202,9,0,10
203,7,0,15
203,9,0,5
204,7,0,23
204,9,0,12
204,10,0,7
205,9,0,6
206,7,0,40
206,9,0,33
206,10,0,31
207,7,0,7
207,9,0,26
207,10,0,43
208,9,0,18
