"grid_cell","round","date","prev","N"
37,1,2012-06-22,0,21
38,1,2012-06-14,0,13
39,1,2012-06-13,0,12
40,1,2012-06-13,0,14
41,1,2012-06-18,0,27
42,1,2012-06-18,0,24
43,1,2012-06-18,0,1
44,1,2012-06-18,0,1
45,1,2012-06-15,0,4
45,9,2015-09-12,0,24
46,10,2016-03-05,0,20
47,9,2015-09-11,0,20
48,1,2010-07-08,0,3
49,1,2012-06-14,0.111111111111111,9
50,1,2012-06-14,0.1,10
51,1,2012-06-15,0,6
52,1,2012-06-18,0,10
53,9,2015-09-11,0,20
54,10,2016-03-05,0,10
55,1,2012-06-14,0,9
56,1,2012-06-18,0,16
57,1,2012-06-15,0,2
58,1,2012-06-18,0,4
59,7,2014-12-04,0,11
60,7,2014-12-04,0,24
60,9,2015-09-12,0,30
60,10,2016-03-06,0,53
61,7,2014-12-06,0,7
61,9,2015-09-12,0,16
62,7,2014-12-05,0,25
62,9,2015-09-11,0,25
63,1,2012-06-14,0,12
64,1,2012-06-14,0,20
65,1,2012-06-18,0,6
66,1,2012-06-18,0,1
67,9,2015-09-12,0,11
68,7,2014-12-04,0,28
68,9,2015-09-12,0,23
69,7,2014-12-04,0,24
69,9,2015-09-11,0,27
69,10,2016-03-05,0,49
70,7,2014-12-03,0,38
70,9,2015-09-10,0,26
70,10,2016-03-07,0,9
71,7,2014-12-05,0,14
71,9,2015-09-10,0,22
72,7,2014-12-06,0,47
72,9,2015-09-10,0.0526315789473684,27
73,1,2012-06-14,0,7
74,1,2012-06-14,0,10
75,4,2013-06-18,0.37037037037037,27
75,5,2013-08-11,0,12
76,9,2015-09-12,0,7
77,7,2014-12-04,0,8
77,9,2015-09-12,0,24
77,10,2016-03-07,0,18
78,7,2014-12-03,0,85
78,9,2015-09-11,0,40
78,10,2016-03-07,0,32
79,7,2014-12-05,0.0555555555555556,20
79,9,2015-09-12,0,15
79,10,2016-03-07,0,16
80,7,2014-12-04,0,38
80,9,2015-09-12,0,32
80,10,2016-03-07,0,35
81,9,2015-09-10,0,48
81,10,2016-03-05,0,65
82,7,2014-12-06,0,10
82,9,2015-09-10,0,15
82,10,2016-03-06,0,43
83,4,2009-06-29,1,2
84,1,2012-06-14,1,1
84,6,2013-09-26,0.444444444444444,20
85,2,2012-09-07,0.357142857142857,14
85,3,2012-11-15,0.157894736842105,19
86,7,2014-12-03,0,40
86,9,2015-09-12,0,28
86,10,2016-03-06,0,51
87,7,2014-12-05,0,47
87,9,2015-09-11,0,40
87,10,2016-03-05,0,47
88,7,2014-12-06,0,23
88,9,2015-09-08,0,31
88,10,2016-03-06,0,41
89,7,2014-12-05,0,48
89,9,2015-09-08,0,43
89,10,2016-03-05,0,27
90,9,2015-09-09,0,19
90,10,2016-03-07,0,26
91,9,2015-09-03,0.5,2
92,5,2013-08-21,0,5
93,4,2013-06-18,0.3,10
93,5,2013-08-11,0.166666666666667,12
